street,left_from,left_to,right_from,right_to,zip_left,zip_right
Ellington Rd,25,99,22,2,02144,02144
Cutter Ave,22,98,21,99,02144,02144
Dresden Cir,2,98,99,1,02144,02144
Cutter Ave,14,20,1,19,02144,02144
Cutter Park,98,2,1,99,02144,02144
Cutter Ave,2,12,nan,nan,02144,nan
Highland Ave,384,398,385,397,02144,02144
Willow Ave,62,74,63,73,02144,02144
Willow Ave,50,60,51,61,02144,02144
Summer St,326,332,329,333,02144,02144
Saint James Ave,36,98,33,99,02144,02144
Summer St,334,338,335,341,02144,02144
Summer St,340,358,343,351,02144,02144
Summer St,360,398,353,399,02144,02144
Hawthorne St,99,41,98,46,02144,02144
Hawthorne St,39,1,44,2,02144,02144
Windom St,2,98,1,99,02144,02144
Willow Ave,114,142,125,139,02144,02144
Newberne St,98,2,1,5,02144,02144
Newberne St,nan,nan,11,99,nan,02144
Morrison Ave,110,124,111,125,02144,02144
Morrison Ave,126,148,127,151,02144,02144
Willow Ave,nan,nan,107,123,nan,02144
Whipple St,1,99,98,2,02144,02144
Highland Ave,362,370,nan,nan,02144,nan
Highland Ave,372,382,367,383,02144,02144
West St,2,98,1,99,02144,02144
Elston St,2,98,1,99,02144,02144
Willow Ave,76,94,75,93,02144,02144
Saint James Ave,2,34,1,31,02144,02144
Lowden Ave,32,70,33,69,02144,02144
Mallet St,12,20,nan,nan,02144,nan
Lowden Ave,72,98,71,99,02144,02144
Newberne St,nan,nan,7,9,nan,02144
Willow Ave,144,154,141,159,02144,02144
Willow Ave,182,208,181,201,02144,02144
Kidder Ave,72,98,69,199,02144,02144
Willow Ave,96,112,95,105,02144,02144
Hancock St,nan,nan,83,93,nan,02144
Windsor Rd,99,1,98,2,02144,02144
Highland Ave,332,336,331,337,02144,02144
Sturtevant St,199,101,2,198,02145,02145
Assembly Square Dr,199,101,2,198,02145,02145
Foley St,2,150,401,499,02145,02145
Foley St,nan,nan,67,299,nan,02145
Foley St,nan,nan,1,65,nan,02145
Middlesex Ave,2,98,nan,nan,02145,nan
Middlesex Ave,100,118,101,151,02145,02145
Middlesex Ave,120,198,153,173,02145,02145
Highland Ave,324,330,323,329,02144,02144
Hancock St,nan,nan,67,81,nan,02144
Charnwood Rd,2,98,1,99,02144,02144
Henry Ave,2,98,1,99,02144,02144
Lexington Ave,199,95,198,100,02144,02144
Highland Rd,2,10,1,13,02144,02144
Morrison Ave,92,108,91,109,02144,02144
Morrison Ave,78,90,75,89,02144,02144
Morrison Ave,56,76,55,73,02144,02144
Lexington Ave,77,59,78,60,02144,02144
Lexington Ave,93,79,98,80,02144,02144
Josephine Ave,2,66,1,63,02144,02144
Lesley Ave,2,98,1,99,02144,02144
Mystic Ave,682,798,nan,nan,02145,nan
Fremont St,100,198,101,199,02145,02145
E Albion St,nan,nan,55,61,nan,02145
Broadway,436,440,nan,nan,02145,nan
Broadway,432,434,nan,nan,02145,nan
Bartlett St,62,198,59,199,02145,02145
Medford St,466,474,467,477,02145,02145
Glenwood Rd,76,198,63,199,02145,02145
Medford St,476,482,479,485,02145,02145
Bartlett St,50,60,51,57,02145,02145
Bartlett St,30,48,35,49,02145,02145
Bartlett St,2,28,1,33,02145,02145
Glenwood Rd,2,74,1,61,02145,02145
Broadway,414,430,nan,nan,02145,nan
Adams St,2,98,1,99,02145,02145
Medford St,450,464,447,465,02145,02145
Central St,138,140,135,145,02145,02145
Robinson St,99,1,98,2,02145,02145
Medford St,428,448,435,445,02145,02145
Ames St,2,22,1,27,02145,02145
Ames St,24,98,29,99,02145,02145
Central St,176,298,175,299,02145,02145
Central St,166,174,165,173,02145,02145
Central St,142,164,147,163,02145,02145
Broadway,402,412,nan,nan,02145,nan
Broadway,388,400,nan,nan,02145,nan
Main St,99,1,nan,nan,02145,nan
Upland Park,99,1,2,98,02145,02145
Main St,nan,nan,98,38,nan,02145
Main St,nan,nan,18,2,nan,02145
Main St,nan,nan,36,24,nan,02145
Fremont St,54,98,49,99,02145,02145
Fremont St,2,52,1,47,02145,02145
Moreland St,14,54,11,55,02145,02145
Moreland St,2,12,1,9,02145,02145
Meacham St,30,98,31,99,02145,02145
Sycamore St,146,156,147,159,02145,02145
Sycamore Ter,2,98,1,99,02145,02145
Moreland St,56,98,57,99,02145,02145
E Albion St,2,54,31,51,02145,02145
E Albion St,60,98,nan,nan,02145,nan
Moreland St,100,198,101,199,02145,02145
E Albion St,nan,nan,9,29,nan,02145
Ash Ave,45,1,42,2,02145,02145
Meacham St,14,28,9,29,02145,02145
Century St,2,98,1,7,02145,02145
Century St,nan,nan,9,29,nan,02145
Century St,nan,nan,31,99,nan,02145
Edgar Ter,2,98,1,9,02145,02145
Edgar Ter,nan,nan,13,99,nan,02145
Heath St,112,198,111,199,02145,02145
Edgar Ave,2,22,nan,nan,02145,nan
Edgar Ave,nan,nan,3,9,nan,02145
Butler Dr,nan,nan,98,2,nan,02145
Temple St,58,98,59,85,02145,02145
Jaques St,54,74,59,73,02145,02145
Jaques St,76,82,75,81,02145,02145
Jaques St,84,102,83,113,02145,02145
Jaques St,104,120,115,125,02145,02145
Jaques St,122,198,127,199,02145,02145
Edgar Ave,44,98,39,59,02145,02145
Edgar Ave,nan,nan,69,99,nan,02145
Edgar Ave,nan,nan,61,65,nan,02145
Meacham St,2,12,nan,nan,02145,nan
Meacham St,nan,nan,1,7,nan,02145
Ash Ave,99,47,98,44,02145,02145
River Rd,nan,nan,50,98,nan,02145
Canal Ln,2,98,1,99,02145,02145
Memorial Rd,2,98,1,99,02145,02145
Edgar Ct,2,98,1,99,02145,02145
Tennyson St,24,98,17,99,02145,02145
Medford St,422,426,423,433,02145,02145
Forster St,18,98,13,99,02145,02145
Douglas Ave,99,1,98,2,02145,02145
Heath St,84,110,83,109,02145,02145
Sycamore St,158,198,161,199,02145,02145
Browning Rd,99,1,98,2,02145,02145
Broadway,376,386,nan,nan,02145,nan
Bond St,24,98,27,99,02145,02145
Fenwick St,30,98,27,99,02145,02145
Heath St,62,82,67,81,02145,02145
Mystic Ave,600,680,nan,nan,02145,nan
Thurston St,92,198,91,199,02145,02145
Fairview Ter,2,98,1,99,02145,02145
Broadway,360,374,nan,nan,02145,nan
School St,256,298,253,299,02145,02145
School St,240,254,239,251,02145,02145
School St,230,238,225,237,02145,02145
Evergreen Ave,18,34,19,33,02145,02145
Dartmouth St,34,98,35,99,02145,02145
Broadway,342,350,nan,nan,02145,nan
Evergreen Ave,nan,nan,45,99,nan,02145
Thurston St,14,62,13,59,02145,02145
Medford St,390,394,391,411,02145,02145
Medford St,396,406,nan,nan,02145,nan
Sycamore St,88,120,101,115,02145,02145
Shore Dr,166,190,139,141,02145,02145
Shore Dr,144,164,123,137,02145,02145
Shore Dr,122,142,107,121,02145,02145
Shore Dr,80,120,81,105,02145,02145
Shore Dr,64,78,67,79,02145,02145
Shore Dr,48,62,41,65,02145,02145
Shore Dr,32,46,nan,nan,02145,nan
Shore Dr,2,30,1,39,02145,02145
River Rd,1,3,2,48,02145,02145
River Rd,7,99,nan,nan,02145,nan
Mystic Ave,500,530,nan,nan,02145,nan
Temple St,30,56,35,57,02145,02145
Heath St,2,12,1,15,02145,02145
Heath St,14,20,17,21,02145,02145
Florence Ter,99,1,98,2,02145,02145
Broadway,352,358,nan,nan,02145,nan
Heath St,22,60,23,65,02145,02145
Evergreen Ave,36,98,35,43,02145,02145
Thurston St,64,90,61,89,02145,02145
Dartmouth St,2,32,1,33,02145,02145
Medford St,380,388,379,389,02145,02145
School St,214,228,213,223,02145,02145
School St,200,212,201,211,02145,02145
School St,180,198,181,199,02145,02145
School St,nan,nan,145,179,nan,02145
Medford St,362,378,365,377,02145,02145
Bailey Rd,74,198,75,199,02145,02145
Grant St,42,66,35,65,02145,02145
