street,left_from,left_to,right_from,right_to,zip_left,zip_right
Columbus Ave,60,98,61,99,02143,02143
Walnut St,26,36,29,37,02143,02143
Munroe St,62,98,71,199,02143,02143
Munroe St,nan,nan,53,69,nan,02143
Hillside Park,2,98,1,99,02143,02143
Wesley Park,2,98,1,99,02143,02143
Hawkins St,nan,nan,1,9,nan,02143
Kilby St,2,98,1,99,02143,02143
Washington St,nan,nan,263,271,nan,02143
Washington St,266,268,273,275,02143,02143
May Pl,99,1,98,2,02143,02143
Webster Ave,24,46,1,37,02143,02143
Kingman Rd,2,98,1,99,02143,02143
Webster Ave,2,22,nan,nan,02143,nan
Warren Ave,24,98,27,99,02143,02143
Sanborn Ave,2,98,1,99,02143,02143
Walnut St,12,24,1,27,02143,02143
Greenville St,2,12,1,11,02143,02143
Greenville Ct,2,98,1,99,02143,02143
Hamlet St,2,24,1,23,02143,02143
Medford St,200,298,nan,nan,02143,nan
Warren Ave,2,22,1,25,02143,02143
Walnut St,2,10,nan,nan,02143,nan
Stone Ave,22,98,25,99,02143,02143
Stone Ave,2,20,1,23,02143,02143
Marshall St,30,34,25,31,02145,02145
Marshall St,36,42,33,39,02145,02145
Evergreen Ave,2,16,1,17,02145,02145
Marshall St,44,46,41,45,02145,02145
Marshall St,48,60,47,55,02145,02145
Maple Ave,99,1,98,2,02145,02145
Broadway,284,300,nan,nan,02145,nan
Sargent Ave,2,10,1,11,02145,02145
Sherman Ct,2,98,1,99,02145,02145
Walnut St,nan,nan,153,155,nan,02145
Walnut St,144,152,145,151,02145,02145
Jackson Rd,2,18,1,15,02145,02145
Jackson Rd,20,98,17,33,02145,02145
Jackson Rd,nan,nan,35,99,nan,02145
Bradley St,26,98,23,99,02145,02145
Radcliffe Rd,28,98,29,99,02145,02145
Marshall St,68,72,69,71,02145,02145
Marshall St,nan,nan,57,61,nan,02145
Mortimer Pl,2,98,1,99,02145,02145
Mortimer Pl,nan,nan,7-01,7-99,nan,02145
Marshall St,74,80,73,77,02145,02145
Sellon Pl,2,98,1,99,02145,02145
Howe St,99,1,98,2,02145,02145
Bradley St,2,24,1,21,02145,02145
Marshall St,82,88,79,83,02145,02145
James St,2,98,1,99,02145,02145
Pearl St,226,238,227,241,02145,02145
Radcliffe Rd,14,26,13,27,02145,02145
Walnut St,136,142,137,143,02145,02145
Walnut St,128,134,129,135,02145,02145
Radcliffe Rd,2,12,1,11,02145,02145
Walter Ter,2,98,1,99,02145,02145
Walnut St,112,126,115,127,02145,02145
Walnut St,164,198,167,199,02145,02145
Walnut Rd,2,20,1,19,02145,02145
Kenneson Rd,2,98,1,99,02145,02145
Broadway,224,230,nan,nan,02145,nan
Broadway,232,248,nan,nan,02145,nan
Broadway,250,264,nan,nan,02145,nan
Broadway,274,282,nan,nan,02145,nan
Broadway,nan,nan,207,257,nan,02145
Walnut Rd,22,198,23,99,02145,02145
Sargent Ave,12,98,13,99,02145,02145
Melvin St,99,1,98,2,02145,02145
Bonair St,62,68,63,69,02145,02145
Bonair St,70,98,71,99,02145,02145
Walnut St,156,162,157,165,02145,02145
Wellington Ave,2,10,1,13,02145,02145
Wellington Ave,12,98,15,99,02145,02145
Montgomery Ave,2,98,1,99,02145,02145
Blakeley Ave,68,98,41-01,41-99,02145,02145
Kensington Ave,2,74,1,75,02145,02145
Broadway,nan,nan,197,205,nan,02145
Wigglesworth St,38,98,37,99,02145,02145
McGregor Ave,99,1,98,2,02145,02145
Wigglesworth St,34,36,nan,nan,02145,nan
Wigglesworth St,nan,nan,31,35,nan,02145
Sunnyside Ave,99,1,98,2,02145,02145
Edmands St,99,1,98,2,02145,02145
Bonair St,42,60,43,61,02145,02145
Wigglesworth St,2,32,1,29,02145,02145
Pearl St,nan,nan,197,199,nan,02145
Pearl St,200,202,201,203,02145,02145
Gilman Ter,2,98,1,99,02145,02145
Dana St,42,98,39,99,02145,02145
Otis St,50,62,nan,nan,02145,nan
Otis St,64,98,43,99,02145,02145
Jasper St,nan,nan,1,9,nan,02145
Pearl St,204,212,205,213,02145,02145
Jasper St,2,98,11,99,02145,02145
Gilman St,96,198,97,199,02145,02145
Virginia St,2,98,1,99,02145,02145
Holland St,96,98,nan,nan,02144,nan
Warner St,2,12,nan,nan,02144,nan
Bond St,2,22,1,25,02145,02145
Langmaid Ave,2,98,1,99,02145,02145
Mystic Valley Pkwy,626,698,2101,2199,02144,02155
Mystic Valley Pkwy,500,534,601,699,02155,02144
Mystic Valley Pkwy,nan,nan,515,599,nan,02144
Mystic Valley Pkwy,nan,nan,485,513,nan,02144
Alewife Brook Pkwy,106,392,101,199,02144,02144
Alewife Brook Pkwy,nan,nan,395,499,nan,02144
Alewife Brook Pkwy,nan,nan,379,393,nan,02144
Alewife Brook Pkwy,nan,nan,359,377,nan,02144
Alewife Brook Pkwy,nan,nan,343,357,nan,02144
Alewife Brook Pkwy,nan,nan,323,341,nan,02144
Alewife Brook Pkwy,nan,nan,201,321,nan,02144
Tilton Ln,nan,nan,1,99,nan,02144
Irvington Rd,2,98,1,99,02144,02144
Capen St,199,1,nan,nan,02144,nan
Capen Ct,98,2,99,1,02144,02144
Alewife Brook Pkwy,394,398,nan,nan,02144,nan
Gordon St,2,46,1,53,02144,02144
Woods Ave,2,198,1,199,02144,02144
North St,172,184,nan,nan,02144,nan
Gordon St,48,98,55,99,02144,02144
Sterling St,2,98,1,99,02144,02144
W Quincy St,2,72,75,87,02144,02155
W Adams St,2,114,1,115,02144,02144
Bailey St,2,14,1,17,02144,02144
W Quincy St,90,198,89,199,02144,02144
Powder House Blvd,258,298,251,261,02144,02144
North St,2,44,1,11,02144,02144
Broadway,nan,nan,1307,1399,nan,02144
Broadway,1320,1368,nan,nan,02144,nan
Waterhouse St,2,98,1,199,02144,02144
Woodstock St,110,198,nan,nan,02144,nan
Alewife Brook Pkwy,32,104,nan,nan,02144,nan
Victoria St,70,98,nan,nan,02144,nan
Woodstock St,2,108,1,99,02144,02144
Victoria St,2,66,1,67,02144,02144
Broadway,1292,1318,1291,1305,02144,02144
North St,124,138,125,139,02144,02144
North St,110,122,111,123,02144,02144
High St,98,2,1,99,02144,02144
Bailey St,16,98,19,99,02144,02144
North St,84,98,89,99,02144,02144
North St,66,82,67,87,02144,02144
North St,46,64,13,65,02144,02144
Powder House Blvd,nan,nan,267,289,nan,02144
W Adams St,116,126,117,121,02144,02144
W Adams St,128,198,123,199,02144,02144
Conwell Ave,74,92,73,93,02144,02144
College Hill Rd,2,98,1,99,02144,02144
Dow St,2,98,1,99,02144,02144
Ware St,44,98,nan,nan,02144,nan
Russell Rd,38,98,37,43,02144,02144
Russell Rd,nan,nan,45,99,nan,02144
Barton St,2,98,1,99,02144,02144
Hamilton Rd,2,18,1,9,02144,02144
Curtis St,nan,nan,85,91,nan,02144
Conwell Ave,94,198,95,199,02144,02144
Conwell Ave,56,72,53,71,02144,02144
Conwell Ave,2,54,1,51,02144,02144
Belknap St,2,98,1,99,02144,02144
Broadway,nan,nan,1259,1269,nan,02144
Broadway,1266,1290,1271,1289,02144,02144
Hamilton Rd,20,38,11,99,02144,02144
Curtis St,78,88,79,83,02144,02144
Curtis St,66,76,73,77,02144,02144
Powder House Blvd,168,180,165,179,02144,02144
Powder House Blvd,182,198,181,189,02144,02144
Powder House Blvd,200,256,191,249,02144,02144
Hardan Rd,2,98,1,99,02144,02144
Ware St,20,42,23,99,02144,02144
Hillsdale Rd,100,198,121,135,02144,02144
Hillsdale Rd,nan,nan,137,199,nan,02144
Chetwynd Rd,52,98,57,99,02144,02144
Garrison Ave,2,98,1,99,02144,02144
Hooker Ave,78,98,79,99,02144,02144
Russell Rd,2,36,1,35,02144,02144
Broadway,1244,1264,1201,1257,02144,02144
Hamilton Rd,40,98,nan,nan,02144,nan
Mystic Valley Pkwy,1204,1298,nan,nan,02144,nan
Mystic Valley Pkwy,1300,1384,nan,nan,02144,nan
Weston Ave,2,98,1,99,02144,02144
Clarendon Ave,30,38,35,61,02144,02144
Clarendon Ave,42,98,65,99,02144,02144
Hooker Ave,58,76,59,77,02144,02144
Hooker Ave,2,56,1,57,02144,02144
Endicott Ave,2,98,1,99,02144,02144
Broadway,1198,1212,nan,nan,02144,nan
Curtis St,32,48,33,49,02144,02144
Curtis St,nan,nan,25,31,nan,02144
Fairmount Ave,2,22,1,17,02144,02144
Fairmount Ave,24,34,19,33,02144,02144
Fairmount Ave,36,98,35,45,02144,02144
Fairmount Ave,nan,nan,47,99,nan,02144
Ware St,2,18,1,21,02144,02144
Broadway,nan,nan,1133,1151,nan,02144
Clarendon Ave,2,16,1,33,02144,02144
Clarendon Ave,20,28,nan,nan,02144,nan
Broadway,1150,1168,nan,nan,02144,nan
Farragut Ave,2,98,1,99,02144,02144
Broadway,1214,1242,nan,nan,02144,nan
Curtis St,50,64,51,71,02144,02144
Dickson St,2,98,1,99,02144,02144
Watson St,99,1,98,2,02144,02144
Hill St,2,98,1,99,02144,02144
Broadway,1170,1196,nan,nan,02144,nan
Broadway,nan,nan,1153,1199,nan,02144
Moore St,2,98,1,99,02144,02144
Mead St,16,98,19,99,02144,02144
Mead St,2,14,1,17,02144,02144
Cameron Ave,32,44,27,41,02144,02144
Cameron Ave,nan,nan,49,51,nan,02144
Malvern Ave,2,98,1,99,02144,02144
Yorktown St,107,199,100,198,02144,02144
Yorktown St,85,105,86,98,02144,02144
Yorktown St,1,83,2,84,02144,02144
Holland St,232,298,229,299,02144,02144
Cameron Ave,60,74,61,73,02144,02144
Cameron Ave,84,98,nan,nan,02144,nan
Seven Pines Ave,nan,nan,1,13,nan,02144
Glendale Ave,2,98,1,99,02144,02144
Cameron Ave,76,82,nan,nan,02144,nan
Howard St,2,16,nan,nan,02144,nan
Thorndike St,28,36,nan,nan,02144,nan
Elmwood St,nan,nan,14-3,14-99,nan,02144
Elmwood St,nan,nan,87,99,nan,02144
Elmwood St,64,98,65,85,02144,02144
Harrison Rd,2,98,1,99,02144,02144
Howard St,18,98,1,99,02144,02144
Cameron Ave,46,58,53,59,02144,02144
Elmwood St,2,48,1,49,02144,02144
Elmwood St,50,62,51,63,02144,02144
Cameron Ave,10,14,1,15,02144,02144
Cameron Ave,20,28,19,25,02144,02144
Holland St,152,184,nan,nan,02144,nan
Kingston St,20,40,23,35,02144,02144
Kingston St,42,44,37,43,02144,02144
Campbell Park Pl,2,98,1,99,02144,02144
Kingston St,46,98,45,99,02144,02144
Orchard St,152,198,147,199,02144,02144
Dover St,45,53,50,54,02144,02144
Hillsdale Rd,90,98,89,101,02144,02155
Hillsdale Rd,nan,nan,103,119,nan,02144
Curtis St,nan,nan,103,105,nan,02144
Curtis Ave,99,1,98,2,02144,02144
Curtis St,2,30,1,23,02144,02144
Westminster St,99,1,98,2,02144,02144
Broadway,nan,nan,1111,1131,nan,02144
Electric Ave,98,198,95,199,02144,02144
Lovell St,2,98,1,99,02144,02144
Broadway,1094,1148,1097,1109,02144,02144
Electric Ave,80,96,77,93,02144,02144
Holland St,186,198,nan,nan,02144,nan
Claremon St,2,98,1,99,02144,02144
Holland St,200,230,205,227,02144,02144
Holland St,78,94,77,99,02144,02144
Thorndike St,2,26,1,31,02144,02144
Jay St,2,98,1,99,02144,02144
Gorham St,2,98,1,99,02144,02144
Holland St,100,128,101,199,02144,02144
Meacham Rd,33,35,28,36,02144,02144
Campbell Park,99,1,98,2,02144,02144
Meacham Rd,49,99,48,56,02144,02144
Kingston St,2,18,1,21,02144,02144
Meacham Rd,37,47,38,46,02144,02144
Orchard St,132,150,133,145,02144,02144
Chetwynd Rd,nan,nan,1,15,nan,02144
Curtis St,nan,nan,117,129,nan,02144
Teele Ave,2,40,1,41,02144,02144
Powder House Blvd,124,126,101,125,02144,02144
Ossipee Rd,52,98,51,99,02144,02144
Electric Ave,68,78,67,75,02144,02144
Packard Ave,20,34,21,33,02144,02144
Packard Ave,2,18,1,19,02144,02144
Broadway,1046,1072,1071,1081,02144,02144
Whitman St,2,98,1,99,02144,02144
Broadway,1014,1032,1011,1035,02144,02144
Broadway,1034,1044,1037,1051,02144,02144
Paulina St,2,98,1,99,02144,02144
Holland St,130,140,nan,nan,02144,nan
Simpson Ave,2,26,1,27,02144,02144
Buena Vista Rd,nan,nan,1,99,nan,02144
Dover St,121,199,nan,nan,02144,nan
Meacham Rd,nan,nan,58,62,nan,02144
Dover St,55,119,56,198,02144,02144
Glover Cir,2,98,1,99,02144,02144
Day St,21,99,24,56,02144,02144
Chester Pl,2,98,1,99,02144,02144
Chester St,27,39,30,42,02144,02144
Orchard St,114,130,113,131,02144,02144
Victoria St,nan,nan,69,99,nan,02144
Grant St,84,198,79,199,02145,02145
Taylor St,2,98,1,99,02145,02145
Temple St,100,198,101,199,02145,02145
Mystic Ave,532,598,nan,nan,02145,nan
Poplar St,2,98,1,11,02143,02143
Properzi Way,40,80,nan,nan,02143,nan
Rev Nazareno Properzi Way,40,80,nan,nan,02143,nan
Hodgdon Pl,7,99,4,2,02143,02143
Hodgdon Pl,nan,nan,5,1,nan,02143
Greenwood Ter,2,98,1,99,02143,02143
Beacon St,324,326,321,323,02143,02143
Avon Pl,2,98,1,11,02145,02145
Avon Pl,nan,nan,15,99,nan,02145
Mystic Ave,244,264,399,287,02145,02145
Wade Ct,2,98,1,99,02144,02144
Columbia St,495,599,nan,nan,02143,nan
Windsor Pl,600,698,nan,nan,02143,nan
South St,199,101,198,100,02143,02143
Ellington Rd,24,98,23,1,02144,02144
Richardson Ter,2,98,1,99,02145,02145
Vinal St,nan,nan,2,98,nan,02145
Snow Ter,99,1,98,2,02145,02145
Central Rd,nan,nan,28,22,nan,02143
Central Rd,31,35,2,20,02143,02143
Central Rd,98,30,37,99,02143,02143
Sycamore St,24,30,21,31,02143,02143
Central Rd,nan,nan,1,29,nan,02143
Union Sq,1,99,2,98,02143,02143
Broadway,nan,nan,101,195,nan,02145
Garfield Ave,2,98,1,99,02145,02145
Prospect Hill Ave,2,10,1,9,02143,02143
Acadia Park,2,98,1,99,02143,02143
Williams Ct,2,98,1,99,02143,02143
Porter St,16,18,nan,nan,02143,nan
Parker Pl,1,99,2,98,02143,02143
Porter St,2,6,1,5,02143,02143
Eastman Rd,2,98,1,99,02143,02143
Craigie Ter,2,98,1,99,02143,02143
Oak Ter,2,98,1,99,02143,02143
Bellevue Ter,2,98,1,99,02144,02144
Albion St,146,198,143,199,02144,02144
Albion St,126,144,135,141,02144,02144
Elm Pl,98,2,1,99,02143,02143
Park Pl,2,98,1,99,02143,02143
Sycamore St,132,144,133,145,02145,02145
Giles Park,2,98,1,99,02143,02143
Marshall St Cir,2,98,1,99,02145,02145
Greenville Ter,1,99,2,98,02143,02143
Sanborn Ct,2,98,1,99,02143,02143
Royce Pl,2,98,1,99,02145,02145
Pearl Street Pl,2,98,1,199,02145,02145
Adams St,nan,nan,91,99,nan,02144
Meacham Rd,nan,nan,64,98,nan,02144
New Washington St,24,2,99,1,02143,02143
Minnesota Ave,2,98,1,99,02145,02145
Washington Ave,2,98,1,99,02143,02143
Myrtle St,2,32,1,29,02145,02145
Indiana Ave,2,98,1,99,02145,02145
Benedict Ave,98,2,99,1,02145,02145
Elmwood Ter,98,2,1,99,02144,02144
Inner Belt Rd,100,198,101,199,02143,02143
Inner Belt,100,198,101,199,02143,02143
Garden Ct,99,1,98,2,02143,02143
Kent St,24,38,nan,nan,02143,nan
Properzi Way,nan,nan,31,55,nan,02143
Rev Nazareno Properzi Way,nan,nan,31,55,nan,02143
Powder House Blvd,nan,nan,291,293,nan,02144
Thorndike St,38,40,37,99,02144,02144
Thorndike St,nan,nan,42,98,nan,02144
Lester Ter,99,1,98,2,02144,02144
Arlington St,2,98,1,99,02144,02144
Landers St,99,1,98,2,02143,02143
Curtis St,104,112,nan,nan,02144,nan
Cedar St,230,252,223,243,02145,02145
Nashua St,36,98,37,99,02145,02145
Edgar Ave,24,42,11,37,02145,02145
Fenwick St,2,28,1,25,02145,02145
Winter Hill Cir,2,98,99,1,02145,02145
Temple St,nan,nan,87,99,nan,02145
Mystic Ave,190,206,nan,nan,02145,nan
Powder House Blvd,nan,nan,263,265,nan,02144
Mystic Valley Pkwy,832,1202,nan,nan,02144,nan
Broadway,1370,1398,nan,nan,02144,nan
Elm St,nan,nan,141,145,nan,02144
Elm St,94,98,89,99,02144,02144
Cedar St,22,32,23,33,02143,02143
Somerville Ave,nan,nan,689,753,nan,02143
Elm St,nan,nan,1,11,nan,02143
Properzi Way,nan,nan,151,199,nan,02143
Rev Nazareno Properzi Way,nan,nan,151,199,nan,02143
Somerville Ave,nan,nan,425,433,nan,02143
Bow St,50,56,51,53,02143,02143
Bow St,nan,nan,31,37,nan,02143
Temple St,2,28,1,33,02145,02145
Broadway,266,272,nan,nan,02145,nan
Pearl St,nan,nan,175,181,nan,02145
Gilman St,48,56,49,65,02145,02145
McGrath Hwy,300,498,nan,nan,02143,nan
Washington St,270,298,277,283,02143,02143
Bolton St,7,1,14,2,02143,02143
Broadway,216,222,nan,nan,02145,nan
Cross St E,2,36,1,35,02145,02145
Middlesex Ave,nan,nan,1,99,nan,02145
Mystic Ave,224,242,nan,nan,02145,nan
Wisconsin Ave,2,98,1,99,02145,02145
Michigan Ave,2,98,1,99,02145,02145
Illinois Ave,2,98,1,99,02145,02145
Pennsylvania Ave,2,98,1,47,02145,02145
Foley St,152,198,nan,nan,02145,nan
Austin St,2,8,1,7,02145,02145
Pearl St,18,36,21,37,02145,02145
Washington St,162,186,161,179,02143,02143
Poplar St,nan,nan,13,31,nan,02143
McGrath Hwy,2,98,nan,nan,02143,nan
Inner Belt Rd,40,60,nan,nan,02143,nan
Mystic Ave,266,280,285,271,02145,02145
Mystic Ave,400,414,nan,nan,02145,nan
Inner Belt Rd,62,98,nan,nan,02143,nan
Assembly Square Dr,99,1,nan,nan,02145,nan
Powder House Blvd,nan,nan,295,299,nan,02144
3rd Ave,nan,nan,66,98,nan,02143
Middlesex Ave,nan,nan,175,199,nan,02145
McGrath Hwy,nan,nan,801,899,nan,02145
Atherton St,nan,nan,65,99,nan,02143
Mystic Ave,290,296,261,255,02145,02145
Mystic Ave,298,306,253,245,02145,02145
Broadway,55,1,nan,nan,02145,nan
Broadway,99,63,nan,nan,02145,nan
College Ave,nan,nan,149,195,nan,02144
Broadway,311,279,nan,nan,02145,nan
Broadway,329,313,nan,nan,02145,nan
Broadway,333,331,nan,nan,02145,nan
Broadway,379,367,nan,nan,02145,nan
Broadway,385,381,nan,nan,02145,nan
Mystic Ave,282,288,269,263,02145,02145
Broadway,61,57,nan,nan,02145,nan
School St,164,168,nan,nan,02145,nan
Fellsway,200,298,nan,nan,02145,nan
Tannery Brook Row,98,2,99,3,02144,02144
Washington St,159,139,nan,nan,02143,nan
Fitchburg St,2,98,nan,nan,02143,nan
McGrath Hwy,99,1,nan,nan,02143,nan
Charles E Ryan Rd,nan,nan,87,99,nan,02145
Hinckley St,2,16,1,17,02145,02145
Warner St,14,34,1,31,02144,02144
Highland Ave,342,360,347,365,02144,02144
Clifton St,2,20,1,99,02144,02144
Highland Ave,338,340,339,345,02144,02144
Wheatland St,36,56,35,63,02145,02145
Broadway,365,335,nan,nan,02145,nan
Glen St,nan,nan,115,141,nan,02145
Somerville Ave,224,240,nan,nan,02143,nan
Beech St,2,98,1,13,02143,02143
Laurel St,42,98,43,99,02143,02143
North St,140,156,141,199,02144,02144
Lower Campus Rd,nan,nan,2,98,nan,02144
Woodstock St,nan,nan,101,199,nan,02144
Mystic Valley Pkwy,600,624,nan,nan,02144,nan
Alewife Brook Pkwy,2,18,nan,nan,02144,nan
Russell St,17,33,14,36,02144,02140
Roseland St,57,99,68,98,02143,02143
Oxford St,nan,nan,146,198,nan,02143
Eustis St,77,99,72,78,02143,02140
Eustis St,nan,nan,80,98,nan,02143
Sacramento St,77,83,76,86,02143,02143
Museum St,113,115,184,198,02143,02138
Beacon St,nan,nan,161,167,nan,02143
Springfield St,26,40,27,39,02143,02143
Houghton St,2,20,1,19,02139,02143
Tremont St,171,203,174,198,02143,02143
Norfolk St,411,499,414,498,02143,02143
Webster Ave,nan,nan,317,331,nan,02143
Webster Ave,nan,nan,335,399,nan,02143
Webster Ave,nan,nan,201,303,nan,02143
Webster Ave,nan,nan,307,313,nan,02143
Windsor St,501,599,nan,nan,02143,nan
Hunting St,nan,nan,44,98,nan,02143
Bedford St,98,2,1,99,02143,02143
Warren St,51,99,nan,nan,02143,nan
Medford St,nan,nan,1,33,nan,02143
Broadway,437,387,nan,nan,02145,nan
North St,nan,nan,298,190,nan,02144
Curtis St,nan,nan,195,199,nan,02144
Curtis St,140,150,141,143,02144,02144
Curtis St,152,156,nan,nan,02144,nan
Porter Ave,2,98,1,99,02143,02143
Village St,8,16,5,15,02143,02143
Day St,nan,nan,14,22,nan,02144
Chester St,17,25,14,16,02144,02140
Chester St,nan,nan,18,28,nan,02144
Milton St,19,99,20,98,02144,02144
Elm St,196,198,189,201,02140,02144
Marshall St,62,66,63,67,02145,02145
Line St,58,62,nan,nan,02143,nan
Cedar St,2,20,1,19,02143,02143
Cedar St,34,62,35,59,02143,02143
Highland Ave,282,288,283,285,02143,02143
Highland Ave,222,232,221,229,02143,02143
Cedar St,162,198,181,199,02145,02145
Cedar St,254,270,245,299,02145,02145
Somerville Ave,776,786,773,787,02143,02143
Cedar Pl,2,98,1,99,02145,02145
E Albion St,nan,nan,1,7,nan,02145
Broadway,476,498,479,499,02145,02145
Beacon St,260,282,259,277,02143,02143
Beacon St,250,252,253,255,02143,02143
Broadway,466,474,401,477,02145,02155
Upland Rd,2,98,1,99,02144,02144
Sunset Rd,2,98,99,1,02144,02144
Chetwynd Rd,18,20,17,55,02144,02144
Chetwynd Rd,24,50,nan,nan,02144,nan
Chetwynd Rd,2,16,nan,nan,02144,nan
Curtis St,114,120,107,111,02144,02144
Curtis St,96,102,93,101,02144,02144
Raymond Ave,2,198,1,199,02144,02144
Curtis St,90,94,nan,nan,02144,nan
Teele Ave,42,98,47,99,02144,02144
Teele Ave,nan,nan,43,45,nan,02144
Packard Ave,60,84,71,83,02144,02155
Powder House Blvd,128,166,127,163,02144,02144
Broadway,1074,1092,1083,1095,02144,02144
Holland St,nan,nan,201,203,nan,02144
Broadway,nan,nan,1053,1069,nan,02144
Holland St,142,150,nan,nan,02144,nan
Dearborn Rd,nan,nan,65,99,nan,02144
Dearborn Rd,12,18,9,19,02144,02144
Curtis St,nan,nan,113,115,nan,02144
Whitfield Rd,2,10,1,9,02144,02144
Whitfield Rd,28,98,27,99,02144,02144
Whitfield Rd,18,26,21,25,02144,02144
Whitfield Rd,12,16,11,19,02144,02144
Packard Ave,94,100,nan,nan,02144,nan
Line St,70,84,101,131,02143,02139
Mystic Ave,54,60,nan,nan,02145,nan
Broadway,6,8,nan,nan,02145,nan
Broadway,30,44,nan,nan,02145,nan
Meacham Rd,23,31,nan,nan,02144,nan
Newbury St,2,98,1,99,02144,02144
Great River Rd,nan,nan,301,335,nan,02145
Canal St,499,401,nan,nan,02145,nan
Somerville Ave,nan,nan,591,597,nan,02143
Village St,18,98,17,99,02143,02143
Village St,2,6,nan,nan,02143,nan
Village Ter,2,98,99,1,02143,02143
Artisan Way,nan,nan,441,461,nan,02145
Canal St,399,301,nan,nan,02145,nan
Somerville Ave,520,598,585,589,02143,02143
Direnzo Ter,2,98,1,99,02145,02145
Maxwells Grn,1,99,nan,nan,02144,nan
North St,100,108,101,109,02144,02144
Washington St,nan,nan,1,19,nan,02143
Sartwell Ave,nan,nan,1,11,nan,02144
Warwick St,58,98,nan,nan,02145,nan
North St,160,166,nan,nan,02144,nan
Fairfax St,2,98,1,99,02144,02144
Pearl St,2,16,1,19,02145,02145
Crescent St,36,98,nan,nan,02145,nan
Crescent St,10,34,nan,nan,02145,nan
Curtis St,nan,nan,185,193,nan,02144
Curtis St,nan,nan,167,183,nan,02144
Curtis St,nan,nan,145,151,nan,02144
Curtis St,nan,nan,153,165,nan,02144
