address,street,num,school,range_low,range_high,"Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio Address Line 4","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State / Province","Geocodio Nation","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Building Name","Geocodio Source","Geocodio Stable Address Key","Geocodio Match Type"
"99 Bradford Avenue, Somerville MA","Bradford Avenue",99,"WINTER HILL",1,99,42.392231,-71.094408,0.81,nearest_rooftop_match,"9 Bradford Ave",,"Somerville, MA 02145",,9,"Bradford Ave",,,Somerville,MA,,"Middlesex County",02145,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usn7252a4k25tg5a8yqt623wqd93e,building_centroid
"1 Bradley Street, Somerville MA","Bradley Street",1,"WINTER HILL",1,99,42.387922,-71.094507,1,rooftop,"1 Bradley St",,"Somerville, MA 02145",,1,"Bradley St",,,Somerville,MA,,"Middlesex County",02145,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnmwlmub5c7bh82mmvqr8z8l38kf,building_centroid
"26 Bradley Street, Somerville MA","Bradley Street",26,"WINTER HILL",1,99,42.388821,-71.093938,1,range_interpolation,"26 Bradley St",,"Somerville, MA 02145",,26,"Bradley St",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_usnmwlmub5c7bh82jsmp59uyen526,
"50 Bradley Street, Somerville MA","Bradley Street",50,"WINTER HILL",1,99,42.389586,-71.093912,1,rooftop,"50 Bradley St",,"Somerville, MA 02145",,50,"Bradley St",,,Somerville,MA,,"Middlesex County",02145,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnmwlmub5c7bh82chsld8yl252kd,building_centroid
"74 Bradley Street, Somerville MA","Bradley Street",74,"WINTER HILL",1,99,42.389437,-71.093543,1,range_interpolation,"74 Bradley St",,"Somerville, MA 02145",,74,"Bradley St",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_usnmwlmub5c7bh82k62hrlctgqfua,
"99 Bradley Street, Somerville MA","Bradley Street",99,"WINTER HILL",1,99,42.389869,-71.093731,0.86,nearest_rooftop_match,"62 Bradley St",,"Somerville, MA 02145",,62,"Bradley St",,,Somerville,MA,,"Middlesex County",02145,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnmwlmub5c7bh82eelvkeqg7euh5,building_centroid
"1 Browning Road, Somerville MA","Browning Road",1,"WINTER HILL",1,99,42.393895,-71.099577,1,range_interpolation,"1 Browning Rd",,"Somerville, MA 02145",,1,"Browning Rd",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_usng8262y6z92mqccvjkk99rcsag4,
"26 Browning Road, Somerville MA","Browning Road",26,"WINTER HILL",1,99,42.393513,-71.09906,1,range_interpolation,"26 Browning Rd",,"Somerville, MA 02145",,26,"Browning Rd",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_usng8262y6z92mqcve4klg8muyy9e,
"50 Browning Road, Somerville MA","Browning Road",50,"WINTER HILL",1,99,42.393957,-71.098527,1,range_interpolation,"50 Browning Rd",,"Somerville, MA 02145",,50,"Browning Rd",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_usng8262y6z92mqcdafzjkhr99jrb,
"74 Browning Road, Somerville MA","Browning Road",74,"WINTER HILL",1,99,42.393887,-71.098184,1,range_interpolation,"74 Browning Rd",,"Somerville, MA 02145",,74,"Browning Rd",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_usng8262y6z92mqc7ep3d33p5g2v7,
"99 Browning Road, Somerville MA","Browning Road",99,"WINTER HILL",1,99,42.393791,-71.097546,1,range_interpolation,"99 Browning Rd",,"Somerville, MA 02145",,99,"Browning Rd",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_usng8262y6z92mqcfeeez6cz2ax97,
"1 Cambria Street, Somerville MA","Cambria Street",1,"WINTER HILL",1,99,42.387714,-71.104783,0.89,nearest_rooftop_match,"11 Cambria St",,"Somerville, MA 02143",,11,"Cambria St",,,Somerville,MA,,"Middlesex County",02143,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnc4dzzh4lvpnbdtygdkrfxenh6e,building_centroid
