address,street,num,school,range_low,range_high,Geocodio Latitude,Geocodio Longitude,Geocodio Accuracy Score,Geocodio Accuracy Type,Geocodio Address Line 1,Geocodio Address Line 2,Geocodio Address Line 3,Geocodio Address Line 4,Geocodio House Number,Geocodio Street,Geocodio Unit Type,Geocodio Unit Number,Geocodio City,Geocodio State / Province,Geocodio Nation,Geocodio County,Geocodio Postal Code,Geocodio Country,Geocodio Building Name,Geocodio Source,Geocodio Stable Address Key,Geocodio Match Type
"133 Bromfield Road, Somerville MA",Bromfield Road,133,WEST SOMERVILLE,1,199,42.403652,-71.116511,1,range_interpolation,133 Bromfield Rd,,"Somerville, MA 02144",,133,Bromfield Rd,,,Somerville,MA,,Middlesex County,02144,US,,TIGER/Line® from the US Census Bureau,gcod_usn53gy5kayfs9qdbnteagnct3uh6,
"166 Bromfield Road, Somerville MA",Bromfield Road,166,WEST SOMERVILLE,1,199,42.40424,-71.116305,1,range_interpolation,166 Bromfield Rd,,"Somerville, MA 02144",,166,Bromfield Rd,,,Somerville,MA,,Middlesex County,02144,US,,TIGER/Line® from the US Census Bureau,gcod_usn53gy5kayfs9qd9sd8f499yunae,
"199 Bromfield Road, Somerville MA",Bromfield Road,199,WEST SOMERVILLE,1,199,42.404711,-71.116335,0.81,nearest_rooftop_match,105 Bromfield Rd,,"Somerville, MA 02144",,105,Bromfield Rd,,,Somerville,MA,,Middlesex County,02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usn53gy5kayfs9qdtkm2pzfm47ge9,building_centroid
"1 Burnham Street, Somerville MA",Burnham Street,1,WEST SOMERVILLE,1,99,42.401654,-71.121256,0.89,nearest_rooftop_match,11 Burnham St,,"Somerville, MA 02144",,11,Burnham St,,,Somerville,MA,,Middlesex County,02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnu6y5ht33qsb7dnzu2bq6m5hl27,building_centroid
"26 Burnham Street, Somerville MA",Burnham Street,26,WEST SOMERVILLE,1,99,42.402172,-71.121464,1,rooftop,26 Burnham St,,"Somerville, MA 02144",,26,Burnham St,,,Somerville,MA,,Middlesex County,02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnu6y5ht33qsb7dvuldwgbmxnv9e,building_centroid
"50 Burnham Street, Somerville MA",Burnham Street,50,WEST SOMERVILLE,1,99,42.402006,-71.121093,1,range_interpolation,50 Burnham St,,"Somerville, MA 02144",,50,Burnham St,,,Somerville,MA,,Middlesex County,02144,US,,TIGER/Line® from the US Census Bureau,gcod_usnu6y5ht33qsb7dx2y34pmcn258h,
"74 Burnham Street, Somerville MA",Burnham Street,74,WEST SOMERVILLE,1,99,42.40238,-71.120831,1,range_interpolation,74 Burnham St,,"Somerville, MA 02144",,74,Burnham St,,,Somerville,MA,,Middlesex County,02144,US,,TIGER/Line® from the US Census Bureau,gcod_usnu6y5ht33qsb7duheq9yar59u35,
"99 Burnham Street, Somerville MA",Burnham Street,99,WEST SOMERVILLE,1,99,42.402374,-71.120774,0.84,nearest_rooftop_match,41 Burnham St,,"Somerville, MA 02144",,41,Burnham St,,,Somerville,MA,,Middlesex County,02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnu6y5ht33qsb7da9hyv53zbu73f,building_centroid
"1 Cady Avenue, Somerville MA",Cady Avenue,1,WEST SOMERVILLE,1,99,42.400257,-71.123908,0.89,nearest_rooftop_match,7 Cady Ave,,"Somerville, MA 02144",,7,Cady Ave,,,Somerville,MA,,Middlesex County,02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnddjzjph9y2rp3wk8qleua7vc8f,building_centroid
"26 Cady Avenue, Somerville MA",Cady Avenue,26,WEST SOMERVILLE,1,99,42.400164,-71.124379,0.89,nearest_rooftop_match,16 Cady Ave,,"Somerville, MA 02144",,16,Cady Ave,,,Somerville,MA,,Middlesex County,02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnddjzjph9y2rp33qv5xwjfnlevb,building_centroid
"50 Cady Avenue, Somerville MA",Cady Avenue,50,WEST SOMERVILLE,1,99,42.400164,-71.124379,0.87,nearest_rooftop_match,18 Cady Ave,,"Somerville, MA 02144",,18,Cady Ave,,,Somerville,MA,,Middlesex County,02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnddjzjph9y2rp39x9xtcfspqdc6,building_centroid
"74 Cady Avenue, Somerville MA",Cady Avenue,74,WEST SOMERVILLE,1,99,42.400164,-71.124379,0.85,nearest_rooftop_match,18 Cady Ave,,"Somerville, MA 02144",,18,Cady Ave,,,Somerville,MA,,Middlesex County,02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnddjzjph9y2rp39x9xtcfspqdc6,building_centroid
"99 Cady Avenue, Somerville MA",Cady Avenue,99,WEST SOMERVILLE,1,99,42.400231,-71.124168,1,range_interpolation,99 Cady Ave,,"Somerville, MA 02144",,99,Cady Ave,,,Somerville,MA,,Middlesex County,02144,US,,TIGER/Line® from the US Census Bureau,gcod_usnddjzjph9y2rp3bhmdmkjsue46h,
"1 Cameron Avenue, Somerville MA",Cameron Avenue,1,WEST SOMERVILLE,1,98,42.401091,-71.126437,1,rooftop,1 Cameron Ave,,"Somerville, MA 02144",,1,Cameron Ave,,,Somerville,MA,,Middlesex County,02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usntn27z3gyq98g8bjnsm3uq4cl48,building_centroid
"25 Cameron Avenue, Somerville MA",Cameron Avenue,25,WEST SOMERVILLE,1,98,42.400323,-71.126763,1,range_interpolation,25 Cameron Ave,,"Somerville, MA 02144",,25,Cameron Ave,,,Somerville,MA,,Middlesex County,02144,US,,TIGER/Line® from the US Census Bureau,gcod_usntn27z3gyq98g8qze9mgvbrfw77,
"50 Cameron Avenue, Somerville MA",Cameron Avenue,50,WEST SOMERVILLE,1,98,42.399267,-71.127848,1,rooftop,50 Cameron Ave,,"Somerville, MA 02144",,50,Cameron Ave,,,Somerville,MA,,Middlesex County,02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usntn27z3gyq98g8qkq364c4faehd,building_centroid
"74 Cameron Avenue, Somerville MA",Cameron Avenue,74,WEST SOMERVILLE,1,98,42.39866,-71.128541,0.94,nearest_rooftop_match,76 Cameron Ave,,"Somerville, MA 02144",,76,Cameron Ave,,,Somerville,MA,,Middlesex County,02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usntn27z3gyq98g8ddntq9xm7pkrg,building_centroid
"98 Cameron Avenue, Somerville MA",Cameron Avenue,98,WEST SOMERVILLE,1,98,42.39858,-71.128613,0.89,nearest_rooftop_match,82 Cameron Ave,,"Somerville, MA 02144",,82,Cameron Ave,,,Somerville,MA,,Middlesex County,02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usntn27z3gyq98g8jy3ft93k4l7p5,building_centroid
"1 Campbell Park, Somerville MA",Campbell Park,1,WEST SOMERVILLE,1,99,42.397123,-71.126826,1,range_interpolation,1 Campbell Park,,"Somerville, MA 02144",,1,Campbell Park,,,Somerville,MA,,Middlesex County,02144,US,,TIGER/Line® from the US Census Bureau,gcod_usncz2hy7ghab9v4l84xqgjdpy6l4,
"26 Campbell Park, Somerville MA",Campbell Park,26,WEST SOMERVILLE,1,99,42.39689,-71.126835,1,rooftop,26 Campbell Park,,"Somerville, MA 02144",,26,Campbell Park,,,Somerville,MA,,Middlesex County,02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usncz2hy7ghab9v472cac4rbmx42f,building_centroid
"50 Campbell Park, Somerville MA",Campbell Park,50,WEST SOMERVILLE,1,99,42.396546,-71.12641,1,range_interpolation,50 Campbell Park,,"Somerville, MA 02144",,50,Campbell Park,,,Somerville,MA,,Middlesex County,02144,US,,TIGER/Line® from the US Census Bureau,gcod_usncz2hy7ghab9v4hyq2fmmdt5t3a,
"74 Campbell Park, Somerville MA",Campbell Park,74,WEST SOMERVILLE,1,99,42.396313,-71.126152,1,range_interpolation,74 Campbell Park,,"Somerville, MA 02144",,74,Campbell Park,,,Somerville,MA,,Middlesex County,02144,US,,TIGER/Line® from the US Census Bureau,gcod_usncz2hy7ghab9v4n4ydrhxc9wf89,
"99 Campbell Park, Somerville MA",Campbell Park,99,WEST SOMERVILLE,1,99,42.396192,-71.125793,1,range_interpolation,99 Campbell Park,,"Somerville, MA 02144",,99,Campbell Park,,,Somerville,MA,,Middlesex County,02144,US,,TIGER/Line® from the US Census Bureau,gcod_usncz2hy7ghab9v4j8ahqvm3px7tb,
"1 Campbell Park Place, Somerville MA",Campbell Park Place,1,WEST SOMERVILLE,1,99,42.397123,-71.126826,0.95,range_interpolation,1 Campbell Park,,"Somerville, MA 02144",,1,Campbell Park,,,Somerville,MA,,Middlesex County,02144,US,,TIGER/Line® from the US Census Bureau,gcod_usncz2hy7ghab9v4l84xqgjdpy6l4,
"26 Campbell Park Place, Somerville MA",Campbell Park Place,26,WEST SOMERVILLE,1,99,42.397187,-71.126975,1,range_interpolation,26 Campbell Park Pl,,"Somerville, MA 02144",,26,Campbell Park Pl,,,Somerville,MA,,Middlesex County,02144,US,,TIGER/Line® from the US Census Bureau,gcod_usnx3vk8xbbz54bf5sakpfp5m7y48,
"50 Campbell Park Place, Somerville MA",Campbell Park Place,50,WEST SOMERVILLE,1,99,42.397237,-71.12697,1,range_interpolation,50 Campbell Park Pl,,"Somerville, MA 02144",,50,Campbell Park Pl,,,Somerville,MA,,Middlesex County,02144,US,,TIGER/Line® from the US Census Bureau,gcod_usnx3vk8xbbz54bf9hqmfwtv4y66f,
"74 Campbell Park Place, Somerville MA",Campbell Park Place,74,WEST SOMERVILLE,1,99,42.397288,-71.126965,1,range_interpolation,74 Campbell Park Pl,,"Somerville, MA 02144",,74,Campbell Park Pl,,,Somerville,MA,,Middlesex County,02144,US,,TIGER/Line® from the US Census Bureau,gcod_usnx3vk8xbbz54bfrjdhd5lp8dq47,
"99 Campbell Park Place, Somerville MA",Campbell Park Place,99,WEST SOMERVILLE,1,99,42.396192,-71.125793,0.95,range_interpolation,99 Campbell Park,,"Somerville, MA 02144",,99,Campbell Park,,,Somerville,MA,,Middlesex County,02144,US,,TIGER/Line® from the US Census Bureau,gcod_usncz2hy7ghab9v4j8ahqvm3px7tb,
"1 Capen Court, Somerville MA",Capen Court,1,WEST SOMERVILLE,1,99,42.414692,-71.129627,1,rooftop,1 Capen Ct,,"Somerville, MA 02144",,1,Capen Ct,,,Somerville,MA,,Middlesex County,02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usn8vwkll9azdvj6zd2tcyudlm2a2,building_centroid
"26 Capen Court, Somerville MA",Capen Court,26,WEST SOMERVILLE,1,99,42.414565,-71.129326,1,range_interpolation,26 Capen Ct,,"Somerville, MA 02144",,26,Capen Ct,,,Somerville,MA,,Middlesex County,02144,US,,TIGER/Line® from the US Census Bureau,gcod_usn8vwkll9azdvj64l3vqww4weqn9,
"50 Capen Court, Somerville MA",Capen Court,50,WEST SOMERVILLE,1,99,42.41491,-71.12904,1,range_interpolation,50 Capen Ct,,"Somerville, MA 02144",,50,Capen Ct,,,Somerville,MA,,Middlesex County,02144,US,,TIGER/Line® from the US Census Bureau,gcod_usn8vwkll9azdvj6dxramd2ft3ln9,
"74 Capen Court, Somerville MA",Capen Court,74,WEST SOMERVILLE,1,99,42.415113,-71.129484,1,range_interpolation,74 Capen Ct,,"Somerville, MA 02144",,74,Capen Ct,,,Somerville,MA,,Middlesex County,02144,US,,TIGER/Line® from the US Census Bureau,gcod_usn8vwkll9azdvj6pj52fj9s8gunf,
"99 Capen Court, Somerville MA",Capen Court,99,WEST SOMERVILLE,1,99,42.414434,-71.130835,0.95,range_interpolation,99 Capen St,,"Somerville, MA 02144",,99,Capen St,,,Somerville,MA,,Middlesex County,02144,US,,TIGER/Line® from the US Census Bureau,gcod_usn22u8jfyuzklbda6kq3dl68mtpa,
"1 Capen Street, Somerville MA",Capen Street,1,WEST SOMERVILLE,1,199,42.414546,-71.130366,1,range_interpolation,1 Capen St,,"Somerville, MA 02144",,1,Capen St,,,Somerville,MA,,Middlesex County,02144,US,,TIGER/Line® from the US Census Bureau,gcod_usn22u8jfyuzklbdj69ayws6tgeae,
"34 Capen Street, Somerville MA",Capen Street,34,WEST SOMERVILLE,1,199,42.414612,-71.129183,0.95,range_interpolation,34 Capen Ct,,"Somerville, MA 02144",,34,Capen Ct,,,Somerville,MA,,Middlesex County,02144,US,,TIGER/Line® from the US Census Bureau,gcod_usn8vwkll9azdvj66msmaffs2emb8,
"67 Capen Street, Somerville MA",Capen Street,67,WEST SOMERVILLE,1,199,42.414368,-71.130664,1,range_interpolation,67 Capen St,,"Somerville, MA 02144",,67,Capen St,,,Somerville,MA,,Middlesex County,02144,US,,TIGER/Line® from the US Census Bureau,gcod_usn22u8jfyuzklbdbbd2yalduagpe,
"100 Capen Street, Somerville MA",Capen Street,100,WEST SOMERVILLE,1,199,42.413049,-71.127546,0.85,rooftop,100 Capen St,,"Medford, MA 02155",,100,Capen St,,,Medford,MA,,Middlesex County,02155,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnkgn9wl5x9x5w99nswke5mm8clh,building_centroid
"133 Capen Street, Somerville MA",Capen Street,133,WEST SOMERVILLE,1,199,42.414493,-71.130966,0.85,range_interpolation,133 Capen St,,"Medford, MA 02155",,133,Capen St,,,Medford,MA,,Middlesex County,02155,US,,TIGER/Line® from the US Census Bureau,gcod_usn22u8jfyuzklbdp3zjjpblu2yk2,
"166 Capen Street, Somerville MA",Capen Street,166,WEST SOMERVILLE,1,199,42.413711,-71.128086,0.85,range_interpolation,166 Capen St,,"Medford, MA 02155",,166,Capen St,,,Medford,MA,,Middlesex County,02155,US,,TIGER/Line® from the US Census Bureau,gcod_usnkgn9wl5x9x5w9m6hxz8w46zd2b,
"199 Capen Street, Somerville MA",Capen Street,199,WEST SOMERVILLE,1,199,42.414745,-71.131158,0.85,range_interpolation,199 Capen St,,"Medford, MA 02155",,199,Capen St,,,Medford,MA,,Middlesex County,02155,US,,TIGER/Line® from the US Census Bureau,gcod_usn22u8jfyuzklbd2dksabk5dklu7,
"1 Chandler Street, Somerville MA",Chandler Street,1,WEST SOMERVILLE,1,99,42.398142,-71.122264,0.91,nearest_rooftop_match,5 Chandler St,,"Somerville, MA 02144",,5,Chandler St,,,Somerville,MA,,Middlesex County,02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usn5w7nl8pjwzln9k4wzxybscs5v4,building_centroid
"26 Chandler Street, Somerville MA",Chandler Street,26,WEST SOMERVILLE,1,99,42.398811,-71.122176,1,rooftop,26 Chandler St,,"Somerville, MA 02144",,26,Chandler St,,,Somerville,MA,,Middlesex County,02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usn5w7nl8pjwzln9ulazfdn8b7md8,building_centroid
