"Topic","Description","Year","Value","Units","Geography"
"Language Use Overtime","Asian and Pacific Island languages","2014","4.5","Percent","Somerville"
"Language Use Overtime","Other languages","2014","1.7","Percent","Somerville"
"Language Use Overtime","Speak only English","2015","69.5","Percent","Somerville"
"Language Use Overtime","Spanish","2015","7.4","Percent","Somerville"
"Language Use Overtime","Other Indo-European languages","2015","16.8","Percent","Somerville"
"Language Use Overtime","Asian and Pacific Island languages","2015","4.5","Percent","Somerville"
"Language Use Overtime","Other languages","2015","1.9","Percent","Somerville"
"Language Use Overtime","Speak only English","2016","69.8","Percent","Somerville"
"Language Use Overtime","Spanish","2016","7.6","Percent","Somerville"
"Language Use Overtime","Other Indo-European languages","2016","16.3","Percent","Somerville"
"Language Use Overtime","Asian and Pacific Island languages","2016","4.8","Percent","Somerville"
"Language Use Overtime","Other languages","2016","1.5","Percent","Somerville"
"Language Use Overtime","Speak only English","2017","70.8","Percent","Somerville"
"Language Use Overtime","Spanish","2017","7.5","Percent","Somerville"
"Language Use Overtime","Other Indo-European languages","2017","16","Percent","Somerville"
"Language Use Overtime","Asian and Pacific Island languages","2017","4.4","Percent","Somerville"
"Language Use Overtime","Other languages","2017","1.3","Percent","Somerville"
"Language Use Overtime","Speak only English","2018","71.4","Percent","Somerville"
"Language Use Overtime","Spanish","2018","8","Percent","Somerville"
"Language Use Overtime","Other Indo-European languages","2018","15.2","Percent","Somerville"
"Language Use Overtime","Asian and Pacific Island languages","2018","4.5","Percent","Somerville"
"Language Use Overtime","Other languages","2018","1","Percent","Somerville"
"Language Use Overtime","Speak only English","2019","69.8","Percent","Somerville"
"Language Use Overtime","Spanish","2019","9.8","Percent","Somerville"
"Language Use Overtime","Other Indo-European languages","2019","14.3","Percent","Somerville"
"Language Use Overtime","Asian and Pacific Island languages","2019","5","Percent","Somerville"
"Language Use Overtime","Other languages","2019","1.2","Percent","Somerville"
"Language Use Overtime","Speak only English","2020","71","Percent","Somerville"
"Language Use Overtime","Spanish","2020","9","Percent","Somerville"
"Language Use Overtime","Other Indo-European languages","2020","14.1","Percent","Somerville"
"Language Use Overtime","Asian and Pacific Island languages","2020","4.7","Percent","Somerville"
"Language Use Overtime","Other languages","2020","1.2","Percent","Somerville"
"Language Use Overtime","Speak only English","2021","70.9","Percent","Somerville"
"Language Use Overtime","Spanish","2021","10.1","Percent","Somerville"
"Language Use Overtime","Other Indo-European languages","2021","13.5","Percent","Somerville"
"Language Use Overtime","Asian and Pacific Island languages","2021","4.4","Percent","Somerville"
"Language Use Overtime","Other languages","2021","1.1","Percent","Somerville"
"Language Use Overtime","Speak only English","2022","72","Percent","Somerville"
"Language Use Overtime","Spanish","2022","8.7","Percent","Somerville"
"Language Use Overtime","Other Indo-European languages","2022","13.4","Percent","Somerville"
"Language Use Overtime","Asian and Pacific Island languages","2022","4.6","Percent","Somerville"
"Language Use Overtime","Other languages","2022","1.2","Percent","Somerville"
"Language Use Overtime","Speak only English","2023","71.2","Percent","Somerville"
"Language Use Overtime","Spanish","2023","8.9","Percent","Somerville"
"Language Use Overtime","Other Indo-European languages","2023","13.6","Percent","Somerville"
"Language Use Overtime","Asian and Pacific Island languages","2023","4.9","Percent","Somerville"
"Language Use Overtime","Other languages","2023","1.5","Percent","Somerville"
"Language Use Overtime","Speak only English","2024","71.4","Percent","Somerville"
"Language Use Overtime","Spanish","2024","8.9","Percent","Somerville"
"Language Use Overtime","Other Indo-European languages","2024","13.1","Percent","Somerville"
"Language Use Overtime","Asian and Pacific Island languages","2024","4.9","Percent","Somerville"
"Language Use Overtime","Other languages","2024","1.7","Percent","Somerville"
"Poverty","Population for whom poverty status is determined","2010","18.1","Percent","Somerville"
"Poverty","Population for whom poverty status is determined","2010","11.4","Percent","Massachusetts"
"Poverty","Population for whom poverty status is determined","2011","18.4","Percent","Somerville"
"Poverty","Population for whom poverty status is determined","2011","11.6","Percent","Massachusetts"
"Poverty","Population for whom poverty status is determined","2012","15.9","Percent","Somerville"
"Poverty","Population for whom poverty status is determined","2012","11","Percent","Massachusetts"
"Poverty","Population for whom poverty status is determined","2013","14.8","Percent","Somerville"
"Poverty","Population for whom poverty status is determined","2013","11.4","Percent","Massachusetts"
"Poverty","Population for whom poverty status is determined","2014","15.5","Percent","Somerville"
"Poverty","Population for whom poverty status is determined","2014","11.6","Percent","Massachusetts"
"Poverty","Population for whom poverty status is determined","2015","14.7","Percent","Somerville"
"Poverty","Population for whom poverty status is determined","2015","11.6","Percent","Massachusetts"
"Poverty","Population for whom poverty status is determined","2016","13.3","Percent","Somerville"
