address,street,num,school,range_low,range_high,Geocodio Latitude,Geocodio Longitude,Geocodio Accuracy Score,Geocodio Accuracy Type,Geocodio Address Line 1,Geocodio Address Line 2,Geocodio Address Line 3,Geocodio Address Line 4,Geocodio House Number,Geocodio Street,Geocodio Unit Type,Geocodio Unit Number,Geocodio City,Geocodio State / Province,Geocodio Nation,Geocodio County,Geocodio Postal Code,Geocodio Country,Geocodio Building Name,Geocodio Source,Geocodio Stable Address Key,Geocodio Match Type
"50 Bishop Place, Somerville MA",Bishop Place,50,EAST SOMERVILLE,1,99,42.386409,-71.084998,1,range_interpolation,50 Bishop Pl,,"Somerville, MA 02145",,50,Bishop Pl,,,Somerville,MA,,Middlesex County,02145,US,,TIGER/Line® from the US Census Bureau,gcod_usnbwf3t9flrjhsfczb85jlc8fhph,
"74 Bishop Place, Somerville MA",Bishop Place,74,EAST SOMERVILLE,1,99,42.386386,-71.084944,1,range_interpolation,74 Bishop Pl,,"Somerville, MA 02145",,74,Bishop Pl,,,Somerville,MA,,Middlesex County,02145,US,,TIGER/Line® from the US Census Bureau,gcod_usnbwf3t9flrjhsfhg278ezm7b8cd,
"1 Bonair Street, Somerville MA",Bonair Street,1,EAST SOMERVILLE,1,99,42.387928,-71.086887,0.94,nearest_rooftop_match,3 Bonair St,,"Somerville, MA 02145",,3,Bonair St,,,Somerville,MA,,Middlesex County,02145,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnb2vv7nhursbxbncgcs6cbrctsa,building_centroid
"26 Bonair Street, Somerville MA",Bonair Street,26,EAST SOMERVILLE,1,99,42.387966,-71.088246,1,rooftop,26 Bonair St,,"Somerville, MA 02145",,26,Bonair St,,,Somerville,MA,,Middlesex County,02145,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnb2vv7nhursbxbajhvhseqq9t5h,building_centroid
"50 Bonair Street, Somerville MA",Bonair Street,50,EAST SOMERVILLE,1,99,42.388794,-71.089825,1,range_interpolation,50 Bonair St,,"Somerville, MA 02145",,50,Bonair St,,,Somerville,MA,,Middlesex County,02145,US,,TIGER/Line® from the US Census Bureau,gcod_usnb2vv7nhursbxbq85shsuh2m23g,
"74 Bonair Street, Somerville MA",Bonair Street,74,EAST SOMERVILLE,1,99,42.388996,-71.091352,1,rooftop,74 Bonair St,,"Somerville, MA 02145",,74,Bonair St,,,Somerville,MA,,Middlesex County,02145,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnb2vv7nhursbxba8wh327tlcye7,building_centroid
"1 Broadway Place, Somerville MA",Broadway Place,1,EAST SOMERVILLE,1,99,42.386673,-71.080175,1,range_interpolation,1 Broadway Pl,,"Somerville, MA 02145",,1,Broadway Pl,,,Somerville,MA,,Middlesex County,02145,US,,TIGER/Line® from the US Census Bureau,gcod_usn7nf8e4zglqcw7jkrfde7g44jl9,
"26 Broadway Place, Somerville MA",Broadway Place,26,EAST SOMERVILLE,1,99,42.386779,-71.081541,1,range_interpolation,26 Broadway Pl,,"Somerville, MA 02145",,26,Broadway Pl,,,Somerville,MA,,Middlesex County,02145,US,,TIGER/Line® from the US Census Bureau,gcod_usnmqdh2xmfgubu5t7y6cr4s442ce,
"50 Broadway Place, Somerville MA",Broadway Place,50,EAST SOMERVILLE,1,99,42.386635,-71.081596,1,range_interpolation,50 Broadway Pl,,"Somerville, MA 02145",,50,Broadway Pl,,,Somerville,MA,,Middlesex County,02145,US,,TIGER/Line® from the US Census Bureau,gcod_usnmqdh2xmfgubu5am948jvvs9dh9,
"74 Broadway Place, Somerville MA",Broadway Place,74,EAST SOMERVILLE,1,99,42.386479,-71.081678,1,range_interpolation,74 Broadway Pl,,"Somerville, MA 02145",,74,Broadway Pl,,,Somerville,MA,,Middlesex County,02145,US,,TIGER/Line® from the US Census Bureau,gcod_usnmqdh2xmfgubu587jmlqk52mxv8,
"1 Brook Street, Somerville MA",Brook Street,1,EAST SOMERVILLE,1,99,42.387044,-71.085155,0.91,nearest_rooftop_match,5 Brook St,,"Somerville, MA 02145",,5,Brook St,,,Somerville,MA,,Middlesex County,02145,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnsqjhvn58nzza282pf7abva2254,building_centroid
"26 Brook Street, Somerville MA",Brook Street,26,EAST SOMERVILLE,1,99,42.387212,-71.086433,1,rooftop,26 Brook St,,"Somerville, MA 02145",,26,Brook St,,,Somerville,MA,,Middlesex County,02145,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnsqjhvn58nzza2bvukbf34afy76,building_centroid
"50 Brook Street, Somerville MA",Brook Street,50,EAST SOMERVILLE,1,99,42.387412,-71.08615,1,range_interpolation,50 Brook St,,"Somerville, MA 02145",,50,Brook St,,,Somerville,MA,,Middlesex County,02145,US,,TIGER/Line® from the US Census Bureau,gcod_usnsqjhvn58nzza2s3aba9x5czhuh,
"74 Brook Street, Somerville MA",Brook Street,74,EAST SOMERVILLE,1,99,42.387497,-71.0864,1,range_interpolation,74 Brook St,,"Somerville, MA 02145",,74,Brook St,,,Somerville,MA,,Middlesex County,02145,US,,TIGER/Line® from the US Census Bureau,gcod_usnsqjhvn58nzza2zw7zp3wdd7ljb,
"1 Chester Avenue, Somerville MA",Chester Avenue,1,EAST SOMERVILLE,1,99,42.38267,-71.090126,1,range_interpolation,1 Chester Ave,,"Somerville, MA 02143",,1,Chester Ave,,,Somerville,MA,,Middlesex County,02143,US,,TIGER/Line® from the US Census Bureau,gcod_usnmfsmduhy5yx5f7w68b7rwzd5ad,
"1 Connecticut Avenue, Somerville MA",Connecticut Avenue,1,EAST SOMERVILLE,1,99,42.39,-71.083534,0.89,nearest_rooftop_match,11 Connecticut Ave,,"Somerville, MA 02145",,11,Connecticut Ave,,,Somerville,MA,,Middlesex County,02145,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usngpj6k94fy6ca3rx7rx898eyv4h,building_centroid
"26 Connecticut Avenue, Somerville MA",Connecticut Avenue,26,EAST SOMERVILLE,1,99,42.389768,-71.083806,1,range_interpolation,26 Connecticut Ave,,"Somerville, MA 02145",,26,Connecticut Ave,,,Somerville,MA,,Middlesex County,02145,US,,TIGER/Line® from the US Census Bureau,gcod_usngpj6k94fy6ca33kx7u28ddn8ca,
"50 Connecticut Avenue, Somerville MA",Connecticut Avenue,50,EAST SOMERVILLE,1,99,42.389909,-71.083659,1,range_interpolation,50 Connecticut Ave,,"Somerville, MA 02145",,50,Connecticut Ave,,,Somerville,MA,,Middlesex County,02145,US,,TIGER/Line® from the US Census Bureau,gcod_usngpj6k94fy6ca3d49pbrdt364v9,
"74 Connecticut Avenue, Somerville MA",Connecticut Avenue,74,EAST SOMERVILLE,1,99,42.390051,-71.083506,1,range_interpolation,74 Connecticut Ave,,"Somerville, MA 02145",,74,Connecticut Ave,,,Somerville,MA,,Middlesex County,02145,US,,TIGER/Line® from the US Census Bureau,gcod_usngpj6k94fy6ca3yy3xwgruw7h33,
"10 Crescent Street, Somerville MA",Crescent Street,10,EAST SOMERVILLE,10,98,42.382561,-71.080911,1,rooftop,10 Crescent St,,"Somerville, MA 02145",,10,Crescent St,,,Somerville,MA,,Middlesex County,02145,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usngfv5wpfpthpn2erfagqmxhdt2b,building_centroid
"39 Crescent Street, Somerville MA",Crescent Street,39,EAST SOMERVILLE,10,98,42.383035,-71.079895,1,range_interpolation,39 Crescent St,,"Somerville, MA 02145",,39,Crescent St,,,Somerville,MA,,Middlesex County,02145,US,,TIGER/Line® from the US Census Bureau,gcod_usngfv5wpfpthpn2s7t3bftmflsn9,
"69 Crescent Street, Somerville MA",Crescent Street,69,EAST SOMERVILLE,10,98,42.383238,-71.079756,1,range_interpolation,69 Crescent St,,"Somerville, MA 02145",,69,Crescent St,,,Somerville,MA,,Middlesex County,02145,US,,TIGER/Line® from the US Census Bureau,gcod_usngfv5wpfpthpn23yyfeaaugeyf6,
"1 Cross Street, Somerville MA",Cross Street,1,EAST SOMERVILLE,1,199,42.388383,-71.08635,0.91,nearest_rooftop_match,5 Cross St,,"Somerville, MA 02145",,5,Cross St,,,Somerville,MA,,Middlesex County,02145,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usn8sjgwmlhfy4xb3prr3w6unj9r7,building_centroid
"34 Cross Street, Somerville MA",Cross Street,34,EAST SOMERVILLE,1,199,42.387028,-71.087168,1,range_interpolation,34 Cross St,,"Somerville, MA 02145",,34,Cross St,,,Somerville,MA,,Middlesex County,02145,US,,TIGER/Line® from the US Census Bureau,gcod_usn8sjgwmlhfy4xbs5bad6p2n5m8h,
