address,street,num,school,"Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio Address Line 4","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State / Province","Geocodio Nation","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Building Name","Geocodio Source","Geocodio Stable Address Key","Geocodio Match Type"
"27 Adams Street, Somerville MA","Adams Street",27,"WINTER HILL",42.394069,-71.100402,1,rooftop,"27 Adams St",,"Somerville, MA 02145",,27,"Adams St",,,Somerville,MA,,"Middlesex County",02145,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usn8vkgtyraadvjgmawxvz3w32hp2,building_centroid
"49 Adams Street, Somerville MA","Adams Street",49,"WINTER HILL",42.394523,-71.100507,1,range_interpolation,"49 Adams St",,"Somerville, MA 02145",,49,"Adams St",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_usn8vkgtyraadvjg6buk5qa3vwskg,
"71 Adams Street, Somerville MA","Adams Street",71,"WINTER HILL",42.3953,-71.09955,1,rooftop,"71 Adams St",,"Somerville, MA 02145",,71,"Adams St",,,Somerville,MA,,"Middlesex County",02145,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usn8vkgtyraadvjggkjee5wgqytg2,building_centroid
"7 Ames Street, Somerville MA","Ames Street",7,"WINTER HILL",42.39226,-71.101484,1,rooftop,"7 Ames St",,"Somerville, MA 02145",,7,"Ames St",,,Somerville,MA,,"Middlesex County",02145,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usn2gqexynmbrjygthhag37pwbze6,building_centroid
"24 Ames Street, Somerville MA","Ames Street",24,"WINTER HILL",42.392456,-71.102043,1,range_interpolation,"24 Ames St",,"Somerville, MA 02145",,24,"Ames St",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_usn2gqexynmbrjyg7dkvwdby89yp5,
"41 Ames Street, Somerville MA","Ames Street",41,"WINTER HILL",42.3929,-71.102421,1,rooftop,"41 Ames St",,"Somerville, MA 02145",,41,"Ames St",,,Somerville,MA,,"Middlesex County",02145,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usn2gqexynmbrjygnwe7ph29hge52,building_centroid
"1 Essex Street, Somerville MA","Essex Street",1,"WINTER HILL",42.389296,-71.098193,1,rooftop,"1 Essex St",,"Somerville, MA 02145",,1,"Essex St",,,Somerville,MA,,"Middlesex County",02145,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnlvwqepy4dnj23bnxbmfmy9y8n8,building_centroid
"14 Essex Street, Somerville MA","Essex Street",14,"WINTER HILL",42.389839,-71.098295,1,rooftop,"14 Essex St",,"Somerville, MA 02145",,14,"Essex St",,,Somerville,MA,,"Middlesex County",02145,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnlvwqepy4dnj234s2smvmb7zsmf,building_centroid
"5 Richardson Street, Somerville MA","Richardson Street",5,"WINTER HILL",42.39558,-71.104605,1,rooftop,"5 Richardson St",,"Somerville, MA 02145",,5,"Richardson St",,,Somerville,MA,,"Middlesex County",02145,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnxe9tm2lvqkky4m2qnbmungae7a,building_centroid
"31 Richardson Street, Somerville MA","Richardson Street",31,"WINTER HILL",42.396039,-71.105617,1,rooftop,"31 Richardson St",,"Somerville, MA 02145",,31,"Richardson St",,,Somerville,MA,,"Middlesex County",02145,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnxe9tm2lvqkky4trd9zwnp7wg7g,building_centroid
