address,street,num,lat,lon,zone_k5_assigned,school_k5_assigned,walk_min_to_assigned,straight_line_to_assigned_mi,closest_school_by_straight_line,closest_straight_line_mi,margin_mi,is_mismatch,is_high_confidence_mismatch,dist_to_Brown_mi,dist_to_Kennedy_mi,dist_to_WestSomerville_mi,dist_to_WinterHill_mi,dist_to_Healey_mi,dist_to_Argenziano_mi,dist_to_EastSomerville_mi,dest_6_8_assigned,dest_6_8_closest_candidate,dest_6_8_closest_mi,dest_6_8_margin_mi,dest_6_8_is_mismatch
"645 Broadway, Somerville MA 02144",Broadway,645,42.398746,-71.109235,Brown,Brown,8,0.2633,Brown,0.2633,0.0,False,False,0.2633,0.7218,1.0178,0.7231,0.7129,1.465,1.3969,West Somerville,Kennedy,0.7218,0.296,True
"660 Broadway, Somerville MA 02144",Broadway,660,42.399248,-71.110928,Brown,Brown,6,0.2069,Brown,0.2069,0.0,False,False,0.2069,0.7205,0.9258,0.8109,0.8032,1.5305,1.4897,West Somerville,Kennedy,0.7205,0.2053,True
"675 Broadway, Somerville MA 02144",Broadway,675,42.399752,-71.111168,Brown,Brown,6,0.2229,Brown,0.2229,0.0,False,False,0.2229,0.7498,0.8976,0.8429,0.8211,1.5673,1.5163,West Somerville,Kennedy,0.7498,0.1478,True
"690 Broadway, Somerville MA 02144",Broadway,690,42.399585,-71.111852,Brown,Brown,5,0.1924,Brown,0.1924,0.0,False,False,0.1924,0.729,0.8734,0.862,0.8534,1.5714,1.5423,West Somerville,Kennedy,0.729,0.1444,True
"705 Broadway, Somerville MA 02144",Broadway,705,42.40012,-71.112264,Brown,Brown,5,0.2141,Brown,0.2141,0.0,False,False,0.2141,0.7599,0.8364,0.9018,0.8809,1.6138,1.5776,West Somerville,Kennedy,0.7599,0.0765,True
"720 Broadway, Somerville MA 02144",Broadway,720,42.399963,-71.113007,Brown,Brown,5,0.1908,Brown,0.1908,0.0,False,False,0.1908,0.7419,0.8095,0.9243,0.916,1.6208,1.6067,West Somerville,Kennedy,0.7419,0.0676,True
"726 Broadway, Somerville MA 02144",Broadway,726,42.400063,-71.113289,Brown,Brown,6,0.1943,Brown,0.1943,0.0,False,False,0.1943,0.7463,0.7936,0.9399,0.9314,1.6335,1.6227,West Somerville,Kennedy,0.7463,0.0473,True
"107 Cedar Street, Somerville MA 02144",Cedar Street,107,42.392443,-71.11204,Brown,Brown,11,0.3505,Kennedy,0.2759,0.0746,True,False,0.3505,0.2759,1.2004,0.6779,0.9208,1.1507,1.4064,West Somerville,Kennedy,0.2759,0.9245,True
"122 Cedar Street, Somerville MA 02144",Cedar Street,122,42.392786,-71.111802,Brown,Brown,11,0.3317,Kennedy,0.302,0.0297,True,False,0.3317,0.302,1.1893,0.6681,0.9007,1.1629,1.3977,West Somerville,Kennedy,0.302,0.8873,True
"137 Cedar Street, Somerville MA 02144",Cedar Street,137,42.393463,-71.111669,Brown,Brown,10,0.2909,Brown,0.2909,0.0,False,False,0.2909,0.3434,1.1578,0.6685,0.8784,1.1976,1.3989,West Somerville,Kennedy,0.3434,0.8144,True
"152 Cedar Street, Somerville MA 02144",Cedar Street,152,42.393619,-71.111168,Brown,Brown,10,0.2929,Brown,0.2929,0.0,False,False,0.2929,0.3672,1.1666,0.6455,0.8507,1.1927,1.3758,West Somerville,Kennedy,0.3672,0.7994,True
