address,street,endpoint,"Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio Address Line 4","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State / Province","Geocodio Nation","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Building Name","Geocodio Source","Geocodio Stable Address Key","Geocodio Match Type"
"2 Clyde Street, Somerville MA 02145","Clyde Street",start,42.395269,-71.110016,1,rooftop,"2 Clyde St",,"Somerville, MA 02145",,2,"Clyde St",,,Somerville,MA,,"Middlesex County",02145,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnznny9wscdjm24nxjklq249d97g,building_centroid
"56 Clyde Street, Somerville MA 02145","Clyde Street",end,42.394236,-71.107666,1,rooftop,"56 Clyde St",,"Somerville, MA 02145",,56,"Clyde St",,,Somerville,MA,,"Middlesex County",02145,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usn94fwn75qcywva7pgfwgf2hpfe5,building_centroid
"1 College Avenue, Somerville MA 02144","College Avenue",start,42.396444,-71.121794,1,rooftop,"1 College Ave",,"Somerville, MA 02144",,1,"College Ave",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usny7hrvbreamp2aszej3pvbx5222,building_centroid
"143 College Avenue, Somerville MA 02144","College Avenue",end,42.401549,-71.116517,1,rooftop,"143 College Ave",,"Somerville, MA 02144",,143,"College Ave",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usny7hrvbreamp2anyndwvfggwq9a,building_centroid
"1 Elm Court, Somerville MA 02144","Elm Court",start,42.396831,-71.121122,1,rooftop,"1 Elm Ct",,"Somerville, MA 02144",,1,"Elm Ct",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usn5du9wa2sdlavdd3wf8wxq2bkba,building_centroid
"6 Elm Court, Somerville MA 02144","Elm Court",end,42.396736,-71.121372,1,rooftop,"6 Elm Ct",,"Somerville, MA 02144",,6,"Elm Ct",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usn5du9wa2sdlavd2q2bjrkutwkv2,building_centroid
"16 Ellington Road, Somerville MA 02144","Ellington Road",start,42.395451,-71.119509,1,range_interpolation,"16 Ellington Rd",,"Somerville, MA 02144",,16,"Ellington Rd",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_usnh88b7xp7mzrddaspejshe9h8ef,
"32 Ellington Road, Somerville MA 02144","Ellington Road",end,42.395698,-71.119666,1,rooftop,"32 Ellington Rd",,"Somerville, MA 02144",,32,"Ellington Rd",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnh88b7xp7mzrddc6h36ne6xzklg,building_centroid
"4 Foskett Street, Somerville MA 02145","Foskett Street",start,42.396772,-71.115255,1,rooftop,"4 Foskett St",,"Somerville, MA 02144",,4,"Foskett St",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnx9g6fj5km9wh9ej7tx2nszy872,building_centroid
"52 Foskett Street, Somerville MA 02145","Foskett Street",end,42.397565,-71.117159,1,rooftop,"52 Foskett St",,"Somerville, MA 02144",,52,"Foskett St",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnx9g6fj5km9wh99wkstncwr7n34,building_centroid
