address,street,num,school,range_low,range_high,"Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio Address Line 4","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State / Province","Geocodio Nation","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Building Name","Geocodio Source","Geocodio Stable Address Key","Geocodio Match Type"
"100 Beacon Place, Somerville MA","Beacon Place",100,ARGENZIANO,1,199,42.377509,-71.105014,1,range_interpolation,"100 Beacon Pl",,"Somerville, MA 02143",,100,"Beacon Pl",,,Somerville,MA,,"Middlesex County",02143,US,,"TIGER/Line® from the US Census Bureau",gcod_usntlh9cwvahchd28qj9y9826sqr6,
"133 Beacon Place, Somerville MA","Beacon Place",133,ARGENZIANO,1,199,42.377589,-71.105772,0.95,range_interpolation,"133 Beacon St",,"Somerville, MA 02143",,133,"Beacon St",,,Somerville,MA,,"Middlesex County",02143,US,,"TIGER/Line® from the US Census Bureau",gcod_usn69k52tyttapvh3quwb34bs8a4f,
"166 Beacon Place, Somerville MA","Beacon Place",166,ARGENZIANO,1,199,42.377625,-71.104818,1,range_interpolation,"166 Beacon Pl",,"Somerville, MA 02143",,166,"Beacon Pl",,,Somerville,MA,,"Middlesex County",02143,US,,"TIGER/Line® from the US Census Bureau",gcod_usntlh9cwvahchd2r6br8n6ncxtxe,
"1 Bedford Street, Somerville MA","Bedford Street",1,ARGENZIANO,1,99,42.373701,-71.088485,0.94,nearest_rooftop_match,"3 Bedford St",,"Somerville, MA 02143",,3,"Bedford St",,,Somerville,MA,,"Middlesex County",02143,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnqnc429lj63ynhfbap79g65zg98,building_centroid
"26 Bedford Street, Somerville MA","Bedford Street",26,ARGENZIANO,1,99,42.373754,-71.088452,1,range_interpolation,"26 Bedford St",,"Somerville, MA 02143",,26,"Bedford St",,,Somerville,MA,,"Middlesex County",02143,US,,"TIGER/Line® from the US Census Bureau",gcod_usnqnc429lj63ynhach7x7ttpscrb,
"50 Bedford Street, Somerville MA","Bedford Street",50,ARGENZIANO,1,99,42.37387,-71.088424,1,range_interpolation,"50 Bedford St",,"Somerville, MA 02143",,50,"Bedford St",,,Somerville,MA,,"Middlesex County",02143,US,,"TIGER/Line® from the US Census Bureau",gcod_usnqnc429lj63ynhtsq42f87hatx5,
"74 Bedford Street, Somerville MA","Bedford Street",74,ARGENZIANO,1,99,42.373986,-71.088395,1,range_interpolation,"74 Bedford St",,"Somerville, MA 02143",,74,"Bedford St",,,Somerville,MA,,"Middlesex County",02143,US,,"TIGER/Line® from the US Census Bureau",gcod_usnqnc429lj63ynhnwfxu7kbj2vbf,
"1 Beech Street, Somerville MA","Beech Street",1,ARGENZIANO,1,99,42.375542,-71.094096,0.95,range_interpolation,"1 Beach Ave",,"Somerville, MA 02143",,1,"Beach Ave",,,Somerville,MA,,"Middlesex County",02143,US,,"TIGER/Line® from the US Census Bureau",gcod_usnlnnfvz9bf6ht9ganwwejl6ypn5,
"26 Beech Street, Somerville MA","Beech Street",26,ARGENZIANO,1,99,42.384032,-71.107534,1,range_interpolation,"26 Beech St",,"Somerville, MA 02143",,26,"Beech St",,,Somerville,MA,,"Middlesex County",02143,US,,"TIGER/Line® from the US Census Bureau",gcod_usnvz386wvfvb67ha7eqwhh329md5,
"50 Beech Street, Somerville MA","Beech Street",50,ARGENZIANO,1,99,42.384163,-71.107449,1,range_interpolation,"50 Beech St",,"Somerville, MA 02143",,50,"Beech St",,,Somerville,MA,,"Middlesex County",02143,US,,"TIGER/Line® from the US Census Bureau",gcod_usnvz386wvfvb67hr6ymzjzz8sbz7,
