address,street,school
"Ellsworth Street, Somerville MA 02145",Ellsworth Street,EAST SOMERVILLE
"Everett Avenue, Somerville MA 02145",Everett Avenue,EAST SOMERVILLE
"Flint Avenue, Somerville MA 02145",Flint Avenue,EAST SOMERVILLE
"Flint Street, Somerville MA 02145",Flint Street,EAST SOMERVILLE
"Florence Street, Somerville MA 02145",Florence Street,EAST SOMERVILLE
"Foley Street, Somerville MA 02145",Foley Street,EAST SOMERVILLE
"Fountain Avenue, Somerville MA 02145",Fountain Avenue,EAST SOMERVILLE
"Franklin Avenue, Somerville MA 02145",Franklin Avenue,EAST SOMERVILLE
"Franklin Place, Somerville MA 02145",Franklin Place,EAST SOMERVILLE
"Franklin Street, Somerville MA 02145",Franklin Street,EAST SOMERVILLE
"Garfield Avenue, Somerville MA 02145",Garfield Avenue,EAST SOMERVILLE
"George Street, Somerville MA 02145",George Street,EAST SOMERVILLE
"Gilman Street, Somerville MA 02145",Gilman Street,EAST SOMERVILLE
"Gilman Terrace, Somerville MA 02145",Gilman Terrace,EAST SOMERVILLE
"Glen Street, Somerville MA 02145",Glen Street,EAST SOMERVILLE
"Hadley Court, Somerville MA 02145",Hadley Court,EAST SOMERVILLE
"Harold Cohen Drive, Somerville MA 02145",Harold Cohen Drive,EAST SOMERVILLE
"Hathorn Street, Somerville MA 02145",Hathorn Street,EAST SOMERVILLE
"Hillside Avenue, Somerville MA 02145",Hillside Avenue,EAST SOMERVILLE
"Illinois Avenue, Somerville MA 02145",Illinois Avenue,EAST SOMERVILLE
"Indiana Avenue, Somerville MA 02145",Indiana Avenue,EAST SOMERVILLE
"Inner Belt Rd, Somerville MA 02145",Inner Belt Rd,EAST SOMERVILLE
"Jasper Place, Somerville MA 02145",Jasper Place,EAST SOMERVILLE
"Jasper Street, Somerville MA 02145",Jasper Street,EAST SOMERVILLE
"Kensington Avenue, Somerville MA 02145",Kensington Avenue,EAST SOMERVILLE
"Knowlton Street, Somerville MA 02145",Knowlton Street,EAST SOMERVILLE
"Lincoln Avenue, Somerville MA 02145",Lincoln Avenue,EAST SOMERVILLE
"Lincoln Place, Somerville MA 02145",Lincoln Place,EAST SOMERVILLE
"Lincoln Street, Somerville MA 02145",Lincoln Street,EAST SOMERVILLE
"Louisburg Place, Somerville MA 02145",Louisburg Place,EAST SOMERVILLE
"MacArthur Street, Somerville MA 02145",MacArthur Street,EAST SOMERVILLE
"Maine Avenue, Somerville MA 02145",Maine Avenue,EAST SOMERVILLE
"Maine Terrace, Somerville MA 02145",Maine Terrace,EAST SOMERVILLE
"McGrath Hwy 365-455 odd, Somerville MA 02145",McGrath Hwy 365-455 odd,EAST SOMERVILLE
"McGregor Avenue, Somerville MA 02145",McGregor Avenue,EAST SOMERVILLE
"Melvin Street, Somerville MA 02145",Melvin Street,EAST SOMERVILLE
"Michigan Avenue, Somerville MA 02145",Michigan Avenue,EAST SOMERVILLE
"Middlesex Avenue, Somerville MA 02145",Middlesex Avenue,EAST SOMERVILLE
"Minnesota Avenue, Somerville MA 02145",Minnesota Avenue,EAST SOMERVILLE
"Montgomery Avenue, Somerville MA 02145",Montgomery Avenue,EAST SOMERVILLE
"Morton Street, Somerville MA 02145",Morton Street,EAST SOMERVILLE
"Mt. Pleasant Court, Somerville MA 02145",Mt. Pleasant Court,EAST SOMERVILLE
"Mt. Pleasant Street, Somerville MA 02145",Mt. Pleasant Street,EAST SOMERVILLE
"Mt. Vernon Street, Somerville MA 02145",Mt. Vernon Street,EAST SOMERVILLE
"Myrtle Place, Somerville MA 02145",Myrtle Place,EAST SOMERVILLE
"Myrtle Street, Somerville MA 02145",Myrtle Street,EAST SOMERVILLE
"Mystic Avenue 1-323, Somerville MA 02145",Mystic Avenue 1-323,EAST SOMERVILLE
"New Hampshire Avenue, Somerville MA 02145",New Hampshire Avenue,EAST SOMERVILLE
"Oliver Street, Somerville MA 02145",Oliver Street,EAST SOMERVILLE
"Otis Street, Somerville MA 02145",Otis Street,EAST SOMERVILLE
"Palmer Avenue, Somerville MA 02145",Palmer Avenue,EAST SOMERVILLE
"Pearl Street 1-209, Somerville MA 02145",Pearl Street 1-209,EAST SOMERVILLE
"Pearl Street Place, Somerville MA 02145",Pearl Street Place,EAST SOMERVILLE
"Pearl Terrace, Somerville MA 02145",Pearl Terrace,EAST SOMERVILLE
"Pennsylvania Avenue, Somerville MA 02145",Pennsylvania Avenue,EAST SOMERVILLE
"Perkins Place, Somerville MA 02145",Perkins Place,EAST SOMERVILLE
"Perkins Street, Somerville MA 02145",Perkins Street,EAST SOMERVILLE
"Pinckney Place, Somerville MA 02145",Pinckney Place,EAST SOMERVILLE
"Pinckney Street, Somerville MA 02145",Pinckney Street,EAST SOMERVILLE
"Reed Court, Somerville MA 02145",Reed Court,EAST SOMERVILLE
"Remick Court, Somerville MA 02145",Remick Court,EAST SOMERVILLE
"Revolution Drive 290, Somerville MA 02145",Revolution Drive 290,EAST SOMERVILLE
"Rhode Island Avenue, Somerville MA 02145",Rhode Island Avenue,EAST SOMERVILLE
"Royce Place, Somerville MA 02145",Royce Place,EAST SOMERVILLE
"Rush Street, Somerville MA 02145",Rush Street,EAST SOMERVILLE
"Sibley Court, Somerville MA 02145",Sibley Court,EAST SOMERVILLE
"Sibley Place, Somerville MA 02145",Sibley Place,EAST SOMERVILLE
"Sunnyside Avenue, Somerville MA 02145",Sunnyside Avenue,EAST SOMERVILLE
"Tufts Street, Somerville MA 02145",Tufts Street,EAST SOMERVILLE
"Vermont Avenue, Somerville MA 02145",Vermont Avenue,EAST SOMERVILLE
"Virginia Street, Somerville MA 02145",Virginia Street,EAST SOMERVILLE
"Washington Avenue, Somerville MA 02145",Washington Avenue,EAST SOMERVILLE
"Washington Street 1-117, Somerville MA 02145",Washington Street 1-117,EAST SOMERVILLE
"Webster Street, Somerville MA 02145",Webster Street,EAST SOMERVILLE
"Wesley Street, Somerville MA 02145",Wesley Street,EAST SOMERVILLE
"Wheeler Street, Somerville MA 02145",Wheeler Street,EAST SOMERVILLE
"Wigglesworth Street, Somerville MA 02145",Wigglesworth Street,EAST SOMERVILLE
"Wisconsin Avenue, Somerville MA 02145",Wisconsin Avenue,EAST SOMERVILLE
