address,street,num,school,range_low,range_high,Geocodio Latitude,Geocodio Longitude,Geocodio Accuracy Score,Geocodio Accuracy Type,Geocodio Address Line 1,Geocodio Address Line 2,Geocodio Address Line 3,Geocodio Address Line 4,Geocodio House Number,Geocodio Street,Geocodio Unit Type,Geocodio Unit Number,Geocodio City,Geocodio State / Province,Geocodio Nation,Geocodio County,Geocodio Postal Code,Geocodio Country,Geocodio Building Name,Geocodio Source,Geocodio Stable Address Key,Geocodio Match Type
"50 Douglas Avenue, Somerville MA",Douglas Avenue,50,HEALEY,1,99,42.395589,-71.097167,1,range_interpolation,50 Douglas Ave,,"Somerville, MA 02145",,50,Douglas Ave,,,Somerville,MA,,Middlesex County,02145,US,,TIGER/Line® from the US Census Bureau,gcod_usnn3wj9tm9l7j5cjvjj55gubru5a,
"74 Douglas Avenue, Somerville MA",Douglas Avenue,74,HEALEY,1,99,42.395652,-71.097295,1,range_interpolation,74 Douglas Ave,,"Somerville, MA 02145",,74,Douglas Ave,,,Somerville,MA,,Middlesex County,02145,US,,TIGER/Line® from the US Census Bureau,gcod_usnn3wj9tm9l7j5c4vr5fvzhts5te,
"99 Douglas Avenue, Somerville MA",Douglas Avenue,99,HEALEY,1,99,42.395581,-71.097489,1,range_interpolation,99 Douglas Ave,,"Somerville, MA 02145",,99,Douglas Ave,,,Somerville,MA,,Middlesex County,02145,US,,TIGER/Line® from the US Census Bureau,gcod_usnn3wj9tm9l7j5cvmyswsp8chrfg,
"2 Edgar Avenue, Somerville MA",Edgar Avenue,2,HEALEY,2,99,42.396541,-71.096813,1,rooftop,2 Edgar Ave,,"Somerville, MA 02145",,2,Edgar Ave,,,Somerville,MA,,Middlesex County,02145,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnc9teucsneau65g9vuf3fxbzjy3,building_centroid
"26 Edgar Avenue, Somerville MA",Edgar Avenue,26,HEALEY,2,99,42.396256,-71.096671,1,range_interpolation,26 Edgar Ave,,"Somerville, MA 02145",,26,Edgar Ave,,,Somerville,MA,,Middlesex County,02145,US,,TIGER/Line® from the US Census Bureau,gcod_usnc9teucsneau65z57fsfjgwl3xa,
"50 Edgar Avenue, Somerville MA",Edgar Avenue,50,HEALEY,2,99,42.396755,-71.096214,1,range_interpolation,50 Edgar Ave,,"Somerville, MA 02145",,50,Edgar Ave,,,Somerville,MA,,Middlesex County,02145,US,,TIGER/Line® from the US Census Bureau,gcod_usnc9teucsneau65n3ysvqyq87u43,
"75 Edgar Avenue, Somerville MA",Edgar Avenue,75,HEALEY,2,99,42.396532,-71.096825,1,range_interpolation,75 Edgar Ave,,"Somerville, MA 02145",,75,Edgar Ave,,,Somerville,MA,,Middlesex County,02145,US,,TIGER/Line® from the US Census Bureau,gcod_usnc9teucsneau65w5cqbcktjwl6e,
"99 Edgar Avenue, Somerville MA",Edgar Avenue,99,HEALEY,2,99,42.397114,-71.095755,0.87,nearest_rooftop_match,69 Edgar Ave,,"Somerville, MA 02145",,69,Edgar Ave,,,Somerville,MA,,Middlesex County,02145,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnc9teucsneau65qmczz28y9fmb5,building_centroid
"1 Edgar Court, Somerville MA",Edgar Court,1,HEALEY,1,99,42.39679,-71.096581,0.95,rooftop,1 Edgar Ave,,"Somerville, MA 02145",,1,Edgar Ave,,,Somerville,MA,,Middlesex County,02145,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnc9teucsneau65snfsyq3nd4zt3,building_centroid
"26 Edgar Court, Somerville MA",Edgar Court,26,HEALEY,1,99,42.397235,-71.09621,1,range_interpolation,26 Edgar Ct,,"Somerville, MA 02145",,26,Edgar Ct,,,Somerville,MA,,Middlesex County,02145,US,,TIGER/Line® from the US Census Bureau,gcod_usnm4bddtgdjb2n94v7ld22b5yr98,
"50 Edgar Court, Somerville MA",Edgar Court,50,HEALEY,1,99,42.397292,-71.096328,1,range_interpolation,50 Edgar Ct,,"Somerville, MA 02145",,50,Edgar Ct,,,Somerville,MA,,Middlesex County,02145,US,,TIGER/Line® from the US Census Bureau,gcod_usnm4bddtgdjb2n9x3ke4gty2nvxe,
"74 Edgar Court, Somerville MA",Edgar Court,74,HEALEY,1,99,42.397348,-71.096446,1,range_interpolation,74 Edgar Ct,,"Somerville, MA 02145",,74,Edgar Ct,,,Somerville,MA,,Middlesex County,02145,US,,TIGER/Line® from the US Census Bureau,gcod_usnm4bddtgdjb2n9hfu77x6rhe4hd,
"99 Edgar Court, Somerville MA",Edgar Court,99,HEALEY,1,99,42.397114,-71.095755,0.82,nearest_rooftop_match,69 Edgar Ave,,"Somerville, MA 02145",,69,Edgar Ave,,,Somerville,MA,,Middlesex County,02145,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnc9teucsneau65qmczz28y9fmb5,building_centroid
"1 Edgar Terrace, Somerville MA",Edgar Terrace,1,HEALEY,1,99,42.39679,-71.096581,0.95,rooftop,1 Edgar Ave,,"Somerville, MA 02145",,1,Edgar Ave,,,Somerville,MA,,Middlesex County,02145,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnc9teucsneau65snfsyq3nd4zt3,building_centroid
"26 Edgar Terrace, Somerville MA",Edgar Terrace,26,HEALEY,1,99,42.396796,-71.096597,1,range_interpolation,26 Edgar Ter,,"Somerville, MA 02145",,26,Edgar Ter,,,Somerville,MA,,Middlesex County,02145,US,,TIGER/Line® from the US Census Bureau,gcod_usnuh2hel7ky9ea7lcyjfhsu4jmjc,
"50 Edgar Terrace, Somerville MA",Edgar Terrace,50,HEALEY,1,99,42.39684,-71.096688,1,range_interpolation,50 Edgar Ter,,"Somerville, MA 02145",,50,Edgar Ter,,,Somerville,MA,,Middlesex County,02145,US,,TIGER/Line® from the US Census Bureau,gcod_usnuh2hel7ky9ea7d98vkemksymac,
"74 Edgar Terrace, Somerville MA",Edgar Terrace,74,HEALEY,1,99,42.396911,-71.096821,1,range_interpolation,74 Edgar Ter,,"Somerville, MA 02145",,74,Edgar Ter,,,Somerville,MA,,Middlesex County,02145,US,,TIGER/Line® from the US Census Bureau,gcod_usnuh2hel7ky9ea7p5afe8xlqg335,
"99 Edgar Terrace, Somerville MA",Edgar Terrace,99,HEALEY,1,99,42.396532,-71.097307,0.84,nearest_rooftop_match,38 Edgar Ter,,"Somerville, MA 02145",,38,Edgar Ter,,,Somerville,MA,,Middlesex County,02145,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnuh2hel7ky9ea7eekmb82gguqga,building_centroid
"200 Fellsway, Somerville MA",Fellsway,200,HEALEY,200,298,42.397594,-71.08519,0.88,nearest_rooftop_match,218 Fellsway,,"Somerville, MA 02145",,218,Fellsway,,,Somerville,MA,,Middlesex County,02145,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnx8phng4hh98b32fa7tnht6tgv7,building_centroid
"224 Fellsway, Somerville MA",Fellsway,224,HEALEY,200,298,42.397725,-71.085173,1,rooftop,224 Fellsway,,"Somerville, MA 02145",,224,Fellsway,,,Somerville,MA,,Middlesex County,02145,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnx8phng4hh98b3p5zaj36sudq86,building_centroid
"249 Fellsway, Somerville MA",Fellsway,249,HEALEY,200,298,42.396911,-71.084985,1,range_interpolation,249 Fellsway,,"Somerville, MA 02145",,249,Fellsway,,,Somerville,MA,,Middlesex County,02145,US,,TIGER/Line® from the US Census Bureau,gcod_usnx8phng4hh98b3p3zlfudc3prv3,
"274 Fellsway, Somerville MA",Fellsway,274,HEALEY,200,298,42.393022,-71.086981,1,range_interpolation,274 Fellsway W,,"Somerville, MA 02145",,274,Fellsway W,,,Somerville,MA,,Middlesex County,02145,US,,TIGER/Line® from the US Census Bureau,gcod_usnkpswngfjperb88ammmfnfgz4x9,
"298 Fellsway, Somerville MA",Fellsway,298,HEALEY,200,298,42.393452,-71.086438,1,range_interpolation,298 Fellsway W,,"Somerville, MA 02145",,298,Fellsway W,,,Somerville,MA,,Middlesex County,02145,US,,TIGER/Line® from the US Census Bureau,gcod_usnkpswngfjperb8mkk3e4jbepfk7,
"1 Fenwick Street, Somerville MA",Fenwick Street,1,HEALEY,1,99,42.394389,-71.095421,0.89,nearest_rooftop_match,11 Fenwick St,,"Somerville, MA 02145",,11,Fenwick St,,,Somerville,MA,,Middlesex County,02145,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnffvw5cej8tvyewhtgs8rdpartd,building_centroid
"26 Fenwick Street, Somerville MA",Fenwick Street,26,HEALEY,1,99,42.394916,-71.095451,1,rooftop,26 Fenwick St,,"Somerville, MA 02145",,26,Fenwick St,,,Somerville,MA,,Middlesex County,02145,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnffvw5cej8tvye5suqengmj9ylb,building_centroid
"50 Fenwick Street, Somerville MA",Fenwick Street,50,HEALEY,1,99,42.395043,-71.094874,1,range_interpolation,50 Fenwick St,,"Somerville, MA 02145",,50,Fenwick St,,,Somerville,MA,,Middlesex County,02145,US,,TIGER/Line® from the US Census Bureau,gcod_usnffvw5cej8tvye4me7kfx34krn7,
"74 Fenwick Street, Somerville MA",Fenwick Street,74,HEALEY,1,99,42.39528,-71.094665,1,range_interpolation,74 Fenwick St,,"Somerville, MA 02145",,74,Fenwick St,,,Somerville,MA,,Middlesex County,02145,US,,TIGER/Line® from the US Census Bureau,gcod_usnffvw5cej8tvyefxwltl33hpd79,
"99 Fenwick Street, Somerville MA",Fenwick Street,99,HEALEY,1,99,42.395462,-71.094492,0.85,nearest_rooftop_match,49 Fenwick St,,"Somerville, MA 02145",,49,Fenwick St,,,Somerville,MA,,Middlesex County,02145,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnffvw5cej8tvye88lc3pg4mx8b3,building_centroid
"1 Florence Terrace, Somerville MA",Florence Terrace,1,HEALEY,1,99,42.394486,-71.093162,1,range_interpolation,1 Florence Ter,,"Somerville, MA 02145",,1,Florence Ter,,,Somerville,MA,,Middlesex County,02145,US,,TIGER/Line® from the US Census Bureau,gcod_usncu8fy4cwvy8lfjh4r8h8x9yz74,
