address,street,num,"Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio Address Line 4","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State / Province","Geocodio Nation","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Building Name","Geocodio Source","Geocodio Stable Address Key","Geocodio Match Type"
"10 Bellevue Terrace, Somerville MA 02144","Bellevue Terrace",10,42.392819,-71.109578,1,rooftop,"10 Bellevue Ter",,"Somerville, MA 02144",,10,"Bellevue Ter",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usn5alejvrk8bnm8wsasufqtatx6b,building_centroid
"1 Boston Avenue, Somerville MA 02144","Boston Avenue",1,42.394851,-71.111016,0.91,nearest_rooftop_match,"5 Boston Ave",,"Somerville, MA 02144",,5,"Boston Ave",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnnlkrc6t9faen32ezy2cwdb9cz3,building_centroid
"16 Boston Avenue, Somerville MA 02144","Boston Avenue",16,42.395244,-71.111197,1,rooftop,"16 Boston Ave",,"Somerville, MA 02144",,16,"Boston Ave",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnnlkrc6t9faen3uxf6urmmltbmg,building_centroid
"31 Boston Avenue, Somerville MA 02144","Boston Avenue",31,42.395548,-71.110541,1,rooftop,"31 Boston Ave",,"Somerville, MA 02144",,31,"Boston Ave",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnnlkrc6t9faen3lu7pnujvdkk27,building_centroid
"46 Boston Avenue, Somerville MA 02144","Boston Avenue",46,42.396059,-71.110652,1,rooftop,"46 Boston Ave",,"Somerville, MA 02144",,46,"Boston Ave",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnnlkrc6t9faen3u3leykvrpr6s7,building_centroid
"61 Boston Avenue, Somerville MA 02144","Boston Avenue",61,42.396525,-71.110267,1,range_interpolation,"61 Boston Ave",,"Somerville, MA 02144",,61,"Boston Ave",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_usnnlkrc6t9faen3bpv2uf57u97m9,
"76 Boston Avenue, Somerville MA 02144","Boston Avenue",76,42.396821,-71.109701,1,range_interpolation,"76 Boston Ave",,"Somerville, MA 02144",,76,"Boston Ave",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_usnnlkrc6t9faen39s6pj25hfs4s7,
"91 Boston Avenue, Somerville MA 02144","Boston Avenue",91,42.397486,-71.109644,1,rooftop,"91 Boston Ave",,"Somerville, MA 02144",,91,"Boston Ave",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnnlkrc6t9faen3572j4uew7ebwd,building_centroid
"106 Boston Avenue, Somerville MA 02144","Boston Avenue",106,42.397786,-71.110337,1,rooftop,"106 Boston Ave",,"Somerville, MA 02144",,106,"Boston Ave",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnnlkrc6t9faen3kx4krqshjl86c,building_centroid
"121 Boston Avenue, Somerville MA 02144","Boston Avenue",121,42.398465,-71.110313,1,rooftop,"121 Boston Ave",,"Somerville, MA 02144",,121,"Boston Ave",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnnlkrc6t9faen3du7csk7sfvz7b,building_centroid
"136 Boston Avenue, Somerville MA 02144","Boston Avenue",136,42.398904,-71.110708,1,range_interpolation,"136 Boston Ave",,"Somerville, MA 02144",,136,"Boston Ave",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_usnnlkrc6t9faen3fxs3wltemrfh6,
